INSTRUMENTID_FE	REF_DATE	MARKET	RIC0	SYMBOL	SEDOL	MKT_SETTL_CONV	EXCHANGE_MARKET_CODE	FINAL_SETTLEMENT_DAYS	FIID	SSL_FEID	SSL_SNAPSHOT_DATE	MARKET_NAME	F_IS_PRIMARY
Owl Rock Capital Corp	20200831	XNYS	ORCC.N	ORCC		2		2	L_S_927156ec-fca7-11e9-2d5c-5ff4b45da19b_Owl Rock Capital Corp_TBRX	TBRX	30200831	Reuters Elektron	Y
EPC DJGT FEB23 BDT	20200831	XXXX	33209			2		2	L_S_3424c2d4-1f2e-11e9-a2d0-b3645e528b7a_EPC DJGT FEB23 BDT_TBRX	TBRX	30200831	Internal	N
I06413	20200831	SEDX	864566	I06413		2		2	L_S_b3abf966-90e6-11ea-b430-b3e2b66d25c3_I06413_TBRX	TBRX	30200831	BIT SEDEX	Y
G2R8.40 | 17 JUN 22 | P | A | 8.4000000000	20200831	XDMI	zA:IJK5	G		1		2	O_98317cf6-494d-11e9-9970-3027219c6795_G2R8.40 | 17 JUN 22 | P | A | 8.4000000000_TBRX	TBRX	30200831	Borsa Italiana IDEM	Y
TYA	20200831	XLON	30457	TYA	B290093	2		2	L_S_ef9c54fe-1f2a-11e9-a2d0-b3645e528b7a_TYA_TBRX	TBRX	30200831	LSE Millennium	N
TIFFANY & CO USD	20200831	XNYS	TIF.N	TIF		2		2	L_S_5ac8d70e-1f2e-11e9-a2d0-b3645e528b7a_TIFFANY & CO USD_TBRX	TBRX	30200831	Reuters Elektron	Y
BNP MAR22 CALL 22.365 OTC - EPSILON | 14 MAR 22 | C | E | 22.3650000000	20200831	XXXX	27161291			12		5	O_bc50c06a-7710-11e9-9400-98972329be46_BNP MAR22 CALL 22.365 OTC - EPSILON | 14 MAR 22 | C | E | 22.3650000000_TBRX	TBRX	30200831	OTC Derivatives	Y
OESX 202512 P 1400 | 19 DEC 25 | P | E | 1400.0000000000	20200831	XEUR	1820010	OESX		2		2	O_f96453dc-1f30-11e9-a2d0-b3645e528b7a_OESX 202512 P 1400 | 19 DEC 25 | P | E | 1400.0000000000_TBRX	TBRX	30200831	Eurex NTA	Y
TYA	20200831	MTAA	451601	TYA	B290093	2		2	L_S_ef9c54fe-1f2a-11e9-a2d0-b3645e528b7a_TYA_TBRX	TBRX	30200831	BIT MTA	Y
TAIWAN SEMICOND	20200831	XNYS	TSM.N	0LCV	B16FT19	2		2	L_S_5a72ed94-1f2e-11e9-a2d0-b3645e528b7a_TAIWAN SEMICOND_TBRX	TBRX	30200831	Reuters Elektron	Y
OESX 202312 C 3800 | 15 DEC 23 | C | E | 3800.0000000000	20200831	XEUR	721484	OESX		2		2	O_f44aba12-1f30-11e9-a2d0-b3645e528b7a_OESX 202312 C 3800 | 15 DEC 23 | C | E | 3800.0000000000_TBRX	TBRX	30200831	Eurex NTA	Y
BEIERSDORF	20200831	XETR	2504906	BEI		2		2	L_S_efa08362-1f2a-11e9-a2d0-b3645e528b7a_BEIERSDORF_TBRX	TBRX	30200831	Xetra T7	Y
DUKE ENERGY	20200831	XNYS	USD:N:4:US26441C2044	DUK		2		2	L_S_5ad03b16-1f2e-11e9-a2d0-b3645e528b7a_DUKE ENERGY_TBRX	TBRX	30200831	Virtu	N
SBA COMMS CORP	20200831	XNAS	SBAC.O	SBAC		2		2	L_S_5a4a3e6c-1f2e-11e9-a2d0-b3645e528b7a_SBA COMMS CORP_TBRX	TBRX	30200831	Reuters Elektron	Y
Ollin	20200831	XNYS	USD:N:4:US6806652052	OLN		2		2	L_S_84b692b0-ac8a-11e9-9c70-2a4d23278022_Ollin_TBRX	TBRX	30200831	Virtu	N
BIOGEN EUR	20200831	PROS		BIIB-U		2		2	L_S_e3599bba-1f2b-11e9-a2d0-b3645e528b7a_BIOGEN EUR_TBRX	TBRX	30200831	Proxy IMI	N
CNP ASSURANCES	20200831	XLON	38273	CNP	B28FT36	2		2	L_S_6e4575a6-1f2b-11e9-a2d0-b3645e528b7a_CNP ASSURANCES_TBRX	TBRX	30200831	LSE Millennium	N
EP3 SX7E JUL22 BDT	20200831	ETLX	510374			2		2	L_S_342abc98-1f2e-11e9-a2d0-b3645e528b7a_EP3 SX7E JUL22 BDT_TBRX	TBRX	30200831	EuroTLX Equities	Y
THE TRD DESK INC	20200831	XLON	146769	TTD		2		2	L_S_5ac44342-1f2e-11e9-a2d0-b3645e528b7a_THE TRD DESK INC_TBRX	TBRX	30200831	LSE Millennium	N
ENI2F13 | 17 JUN 22 | C | A | 13.0000000000	20200831	XDMI	zp:I4H5	ENI		1		2	O_97f9efde-494d-11e9-9970-3027219c6795_ENI2F13 | 17 JUN 22 | C | A | 13.0000000000_TBRX	TBRX	30200831	Borsa Italiana IDEM	Y
AMS	20200831	XLON	134863	AMS		2		2	L_S_5a7cfa50-1f2e-11e9-a2d0-b3645e528b7a_AMS_TBRX	TBRX	30200831	LSE Millennium	N
SODEXO	20200831	XLON	39442	SW	B11FK88	2		2	L_S_6e45ceac-1f2b-11e9-a2d0-b3645e528b7a_SODEXO_TBRX	TBRX	30200831	LSE Millennium	N
EP3 G SEPT20 ISP	20200831	SEDX	801672			2		2	L_S_ef1caa2a-1f2e-11e9-a2d0-b3645e528b7a_EP3 G SEPT20 ISP_TBRX	TBRX	30200831	BIT SEDEX	Y
TTM Technologies Inc	20200831	XNAS	USD:O:4:US87305R1095	TTMI		2		2	L_S_e7c336aa-b839-11e9-a550-e965474efb15_TTM Technologies Inc_TBRX	TBRX	30200831	Virtu	N
UBI	20200831	MTAA	235005	UBI	B28N0H1	2		2	L_S_ef9caf94-1f2a-11e9-a2d0-b3645e528b7a_UBI_TBRX	TBRX	30200831	BIT MTA	Y
CITIGROUP USD	20200831	XLON	145720	C		2		2	L_S_5aa21cae-1f2e-11e9-a2d0-b3645e528b7a_CITIGROUP USD_TBRX	TBRX	30200831	LSE Millennium	N
LAZARD LTD	20200831	XLON	146691	LAZ		2		2	L_S_5a7a3036-1f2e-11e9-a2d0-b3645e528b7a_LAZARD LTD_TBRX	TBRX	30200831	LSE Millennium	N
EOG RESOURCES	20200831	XNYS	EOG.N	EOG		2		2	L_S_5a880724-1f2e-11e9-a2d0-b3645e528b7a_EOG RESOURCES_TBRX	TBRX	30200831	Reuters Elektron	Y
ESPERION THERAPEUTICS INC	20200831	XLON	146988	ESPR		2		2	L_S_5a40314c-1f2e-11e9-a2d0-b3645e528b7a_ESPERION THERAPEUTICS INC_TBRX	TBRX	30200831	LSE Millennium	N
QTS	20200831	XNYS	QTS.N	QTS		2		2	L_S_fd0a5b2e-969c-11e9-a180-91725b79faed_QTS_TBRX	TBRX	30200831	Reuters Elektron	Y
VALLOUREC	20200831	XLOM	154659	VK	BKPHQY1	2		2	L_S_532b01ba-9e45-11ea-a7a0-b10feeb576dc_VALLOUREC_TBRX	TBRX	30200831	LSE Millennium	N
MIBO0L17500 | 18 DEC 20 | C | E | 17500.0000000000	20200831	XDMI	z2:IMTC	MIBO		1		1	O_97cd4994-61d3-11ea-bc20-eddd0e07b602_MIBO0L17500 | 18 DEC 20 | C | E | 17500.0000000000_TBRX	TBRX	30200831	Borsa Italiana IDEM	Y
Valvoline Inc	20200831	XNYS	VVV.N	VVV		2		2	L_S_6c4c4dd5-48bd-11ea-127c-0877f99df6a0_Valvoline Inc_TBRX	TBRX	30200831	Reuters Elektron	Y
SPDR FINANCL SEL	20200831	XLOM	147285	XLF		2		2	L_S_5ab7c5f4-1f2e-11e9-a2d0-b3645e528b7a_SPDR FINANCL SEL_TBRX	TBRX	30200831	LSE Millennium	N
CUMMINS INC	20200831	XNYS	USD:N:4:US2310211063	CMI		2		2	L_S_5ab5e036-1f2e-11e9-a2d0-b3645e528b7a_CUMMINS INC_TBRX	TBRX	30200831	Virtu	N
BMED0X6.20 | 18 DEC 20 | P | A | 6.2000000000	20200831	XDMI	ZE:IHF2	BMED		1		2	O_752a383e-579c-11ea-9e80-7a2e2d6fbb3b_BMED0X6.20 | 18 DEC 20 | P | A | 6.2000000000_TBRX	TBRX	30200831	Borsa Italiana IDEM	Y
OESX 202412 C 3700 | 20 DEC 24 | C | E | 3700.0000000000	20200831	XEUR	1101734	OESX		2		2	O_f92da7b0-1f30-11e9-a2d0-b3645e528b7a_OESX 202412 C 3700 | 20 DEC 24 | C | E | 3700.0000000000_TBRX	TBRX	30200831	Eurex NTA	Y
STM	20200831	MTAA	367	STM	B1FSSD4	2		2	L_S_ef9fb0b8-1f2a-11e9-a2d0-b3645e528b7a_STM_TBRX	TBRX	30200831	BIT MTA	Y
ENI0L11 | 18 DEC 20 | C | A | 11.0000000000	20200831	XDMI	zp:IOI4	ENI		1		2	O_4d391584-1f30-11e9-a2d0-b3645e528b7a_ENI0L11 | 18 DEC 20 | C | A | 11.0000000000_TBRX	TBRX	30200831	Borsa Italiana IDEM	Y
SX5E FEB26 CALL50 OTC - EPSILON | 11 FEB 26 | C | E | 1622.3950000000	20200831	XXXX	26854985			9		5	O_c1167900-7710-11e9-9400-98972329be46_SX5E FEB26 CALL50 OTC - EPSILON | 11 FEB 26 | C | E | 1622.3950000000_TBRX	TBRX	30200831	OTC Derivatives	Y
ALTABA	20200831	ETLX	31154	AABA-U		2		2	L_S_ef9c1868-1f2a-11e9-a2d0-b3645e528b7a_ALTABA_TBRX	TBRX	30200831	EuroTLX Equities	N
EQUIFAX ORD	20200831	XLON	146067	0II3	BYZH586	2		2	L_S_5af31e2e-1f2e-11e9-a2d0-b3645e528b7a_EQUIFAX ORD_TBRX	TBRX	30200831	LSE Millennium	N
LAS VEGAS SANDS CORP	20200831	XLON	146567	LVS		2		2	L_S_5a9fe362-1f2e-11e9-a2d0-b3645e528b7a_LAS VEGAS SANDS CORP_TBRX	TBRX	30200831	LSE Millennium	N
OEXD 202012 C 140 | 18 DEC 20 | C | E | 140.0000000000	20200831	XEUR	2215198	OEXD		2		2	O_f9f663f8-1f30-11e9-a2d0-b3645e528b7a_OEXD 202012 C 140 | 18 DEC 20 | C | E | 140.0000000000_TBRX	TBRX	30200831	Eurex NTA	Y
DIB	20200831	XLON	110405	DIB	B28GS54	2		2	L_S_efa47d50-1f2a-11e9-a2d0-b3645e528b7a_DIB_TBRX	TBRX	30200831	LSE Millennium	N
ROCKWELL AUTOMAT	20200831	XLON	146279	ROK		2		2	L_S_5a5cd2ac-1f2e-11e9-a2d0-b3645e528b7a_ROCKWELL AUTOMAT_TBRX	TBRX	30200831	LSE Millennium	N
DJ INDU AVERG	20200831	XNYS	.DJI			2		2	L_S_7d118d6a-5151-11e9-b8d0-ec23cf8de3db_DJ INDU AVERG_TBRX	TBRX	30200831	Reuters Elektron	Y
SAP 202012 P 92 | 18 DEC 20 | P | A | 92.0000000000	20200831	XEUR	1565346	SAP		2		2	O_f946bb7e-1f30-11e9-a2d0-b3645e528b7a_SAP 202012 P 92 | 18 DEC 20 | P | A | 92.0000000000_TBRX	TBRX	30200831	Eurex NTA	Y
ENEL	20200831	XLON	111392	ENEL	B0ZNK70	2		2	L_S_ef9eba3c-1f2a-11e9-a2d0-b3645e528b7a_ENEL_TBRX	TBRX	30200831	LSE Millennium	N
BEIERSDORF	20200831	MTAH	669930	BEI		2		2	L_S_efa08362-1f2a-11e9-a2d0-b3645e528b7a_BEIERSDORF_TBRX	TBRX	30200831	BIT MTA	N
I06089	20200831	SEDX	857776	I06089		2		2	L_S_d393c11e-5211-11ea-8640-38c7f938b954_I06089_TBRX	TBRX	30200831	BIT SEDEX	Y
SD3E OCT24 CALL0 BOND | 29 OCT 24 | C | E | .0001000000	20200831	XXXX	23560994			2		2	O_7e759e16-62b4-11e9-b160-4ad6f9df0bf5_SD3E OCT24 CALL0 BOND | 29 OCT 24 | C | E | .0001000000_TBRX	TBRX	30200831	Internal	Y
FACEBOOK EUR	20200831	XFRA	FB2A.F	FB-U		2		2	L_S_efa2ebd4-1f2a-11e9-a2d0-b3645e528b7a_FACEBOOK EUR_TBRX	TBRX	30200831	Reuters Elektron	N
BC	20200831	MTAA	717919	BC	B81Z7X1	2		2	L_S_efa4619e-1f2a-11e9-a2d0-b3645e528b7a_BC_TBRX	TBRX	30200831	BIT MTA	Y
VIX FUT OCT0 | OCT 20	20200831	XCBF	VXV0	VIX		2		2	L_S_23f4acca-1d6c-11ea-aaf0-413cb15b8cca_VIX FUT OCT0 | OCT 20_TBRX	TBRX	30200831	Reuters Elektron	Y
FCA0I15 | 18 SEP 20 | C | A | 15.0000000000	20200831	XXXX	tN:I2X9	FCA		1		2	O_88095964-ddc9-11e9-9eb0-e7766f5ef7bc_FCA0I15 | 18 SEP 20 | C | A | 15.0000000000_TBRX	TBRX	30200831	Internal	N
Area Impianti Delisted	20200831	MTAA	476090	AID		2		2	L_S_c5a14c0c-8b74-11e9-b2ae-06b747deb312_Area Impianti Delisted_TBRX	TBRX	30200831	BIT MTA	Y
BAMI	20200831	XZIM		BAMI	BD72RZ3	2		2	L_S_ef9d1268-1f2a-11e9-a2d0-b3645e528b7a_BAMI_TBRX	TBRX	30200831	Proxy Structured	N
SX6E SEP22 P90 PROT | 12 SEP 22 | P | E | 224.3160000000	20200831	XXXX	21151251			2		2	O_833d02fe-62b4-11e9-b160-4ad6f9df0bf5_SX6E SEP22 P90 PROT | 12 SEP 22 | P | E | 224.3160000000_TBRX	TBRX	30200831	Internal	Y
VONOVIA	20200831	PROS		VNA		2		2	L_S_ef9f762a-1f2a-11e9-a2d0-b3645e528b7a_VONOVIA_TBRX	TBRX	30200831	Proxy IMI	N
ADB	20200831	MTAA	778508	ADB	BYT34D8	2		2	L_S_efa15314-1f2a-11e9-a2d0-b3645e528b7a_ADB_TBRX	TBRX	30200831	BIT MTA	Y
BAY X70 D22 - OTC - STRUTT | 16 DEC 22 | P | A | 70.0000000000	20200831	XXXX	27963413			2		2	O_7269af64-9c6a-11e9-aa50-cb99c4fdccb3_BAY X70 D22 - OTC - STRUTT | 16 DEC 22 | P | A | 70.0000000000_TBRX	TBRX	30200831	OTC Derivatives	Y
TRIPADVISOR INC USD	20200831	XNAS	USD:O:4:US8969452015	TRIP		2		2	L_S_5af1e360-1f2e-11e9-a2d0-b3645e528b7a_TRIPADVISOR INC USD_TBRX	TBRX	30200831	Virtu	N
SERVICENOW INC	20200831	XLON	146669	NOW		2		2	L_S_5afaed70-1f2e-11e9-a2d0-b3645e528b7a_SERVICENOW INC_TBRX	TBRX	30200831	LSE Millennium	N
ENI1X10 | 17 DEC 21 | P | A | 10.0000000000	20200831	XDMI	zp:ID65	ENI		1		2	O_4c7bfc74-1f30-11e9-a2d0-b3645e528b7a_ENI1X10 | 17 DEC 21 | P | A | 10.0000000000_TBRX	TBRX	30200831	Borsa Italiana IDEM	Y
OESB 202012 C 72.5 | 18 DEC 20 | C | E | 72.5000000000	20200831	XEUR	5401957	OESB		2		2	O_ad8175f6-bcb6-11ea-af50-dc821a528f41_OESB 202012 C 72.5 | 18 DEC 20 | C | E | 72.5000000000_TBRX	TBRX	30200831	Eurex NTA	Y
I06348	20200831	SEDX	864374	I06348		2		2	L_S_b3cf786e-90e6-11ea-b430-b3e2b66d25c3_I06348_TBRX	TBRX	30200831	BIT SEDEX	Y
NSP USD	20200831	XNYS	USD:N:4:US45778Q1076	NSP		2		2	L_S_eecda17a-6cb1-11e9-a7f0-e0a05e35b460_NSP USD_TBRX	TBRX	30200831	Virtu	N
HRC	20200831	XNYS	USD:N:4:US4314751029	HRC		2		2	L_S_764a38fa-20d5-11ea-dd87-419378699d92_HRC_TBRX	TBRX	30200831	Virtu	N
L BRANDS INC	20200831	XNYS	USD:N:4:US5017971046	LB		2		2	L_S_5aa19efa-1f2e-11e9-a2d0-b3645e528b7a_L BRANDS INC_TBRX	TBRX	30200831	Virtu	N
OPT_SX5E MAR22 CATM - 4894 | 23 MAR 22 | C | E | 3351.7100000000	20200831	XXXX	30678843	4894		2		2	O_bc54763c-9e9d-11ea-a0a0-6b77645bee53_OPT_SX5E MAR22 CATM - 4894 | 23 MAR 22 | C | E | 3351.7100000000_TBRX	TBRX	30200831	Internal	Y
ESSILOR INTL	20200831	XLON	26257	ESL		2		2	L_S_ef9ea4c0-1f2a-11e9-a2d0-b3645e528b7a_ESSILOR INTL_TBRX	TBRX	30200831	LSE Millennium	N
JPMORGAN CHASE USD	20200831	XNYS	JPM.N	JPM		2		2	L_S_2509f5a8-514c-11e9-b8d0-ec23cf8de3db_JPMORGAN CHASE USD_TBRX	TBRX	30200831	Reuters Elektron	Y
OPT_EPC ENEL JULY22 CALL100 - 4642 | 07 JUL 22 | C | E | 4.8613000000	20200831	XXXX	30678781	4642		2		2	O_bbf51e1c-9e9d-11ea-a0a0-6b77645bee53_OPT_EPC ENEL JULY22 CALL100 - 4642 | 07 JUL 22 | C | E | 4.8613000000_TBRX	TBRX	30200831	Internal	Y
ELN	20200831	MTAA	6913	ELN	BDBGZ24	2		2	L_S_efa054fa-1f2a-11e9-a2d0-b3645e528b7a_ELN_TBRX	TBRX	30200831	BIT MTA	Y
ENEL3L8.40 | 15 DEC 23 | C | A | 8.4000000000	20200831	XXXX	zc:I636	ENEL		1		2	O_988d71d2-494d-11e9-9970-3027219c6795_ENEL3L8.40 | 15 DEC 23 | C | A | 8.4000000000_TBRX	TBRX	30200831	Internal	N
TOTAL	20200831	XPAR	1110484	TOT		2		2	L_S_ef9c7be6-1f2a-11e9-a2d0-b3645e528b7a_TOTAL_TBRX	TBRX	30200831	Euronext Optiq	Y
LULULEMON ATHLCA	20200831	XNAS	USD:O:4:US5500211090	LULU		2		2	L_S_5ac4e8ba-1f2e-11e9-a2d0-b3645e528b7a_LULULEMON ATHLCA_TBRX	TBRX	30200831	Virtu	N
Coty Inc	20200831	XNYS	USD:N:4:US2220702037	COTY		2		2	L_S_5aeae574-1f2e-11e9-a2d0-b3645e528b7a_Coty Inc_TBRX	TBRX	30200831	Virtu	N
I06431	20200831	SEDX	864471	I06431		2		2	L_S_b3cb091e-90e6-11ea-b430-b3e2b66d25c3_I06431_TBRX	TBRX	30200831	BIT SEDEX	Y
UCG0J7.80 | 16 OCT 20 | C | A | 7.8000000000	20200831	XDMI	xs:IW6D	UCG		1		2	O_43a8ce86-ca4e-11ea-bfb0-7047c6039bd4_UCG0J7.80 | 16 OCT 20 | C | A | 7.8000000000_TBRX	TBRX	30200831	Borsa Italiana IDEM	Y
PROSUS	20200831	XETR	4389165	PRX	BJSF946	2		2	L_S_93a86efe-d388-11e9-92c0-30299d27d1bc_PROSUS_TBRX	TBRX	30200831	Xetra T7	N
RM	20200831	MTAA	357	RM	B28LK42	2		2	L_S_efa0d84e-1f2a-11e9-a2d0-b3645e528b7a_RM_TBRX	TBRX	30200831	BIT MTA	Y
Rackspace Technology	20200831	XNAS	USD:O:4:US7501021056	RXT		2		2	L_S_eb6e3e65-eb90-11ea-d164-6f46974db594_Rackspace Technology_TBRX	TBRX	30200831	Virtu	N
EATON VANCE	20200831	XNYS	USD:N:4:US2782651036	EV		2		2	L_S_25060754-514c-11e9-b8d0-ec23cf8de3db_EATON VANCE_TBRX	TBRX	30200831	Virtu	N
OPT_EPC ENEL JULY22 PUT100 - 4642 | 07 JUL 22 | P | E | 4.8613000000	20200831	XXXX	30678779	4642		2		2	O_bbf2f330-9e9d-11ea-a0a0-6b77645bee53_OPT_EPC ENEL JULY22 PUT100 - 4642 | 07 JUL 22 | P | E | 4.8613000000_TBRX	TBRX	30200831	Internal	Y
QUALCOMM INC USD	20200831	XNAS	USD:O:4:US7475251036	QCOM		2		2	L_S_5a49b460-1f2e-11e9-a2d0-b3645e528b7a_QUALCOMM INC USD_TBRX	TBRX	30200831	Virtu	N
ENI0X13 | 18 DEC 20 | P | A | 13.0000000000	20200831	XXXX	zp:ILI4	ENI		1		2	O_4e2926e6-1f30-11e9-a2d0-b3645e528b7a_ENI0X13 | 18 DEC 20 | P | A | 13.0000000000_TBRX	TBRX	30200831	Internal	N
Materialise Nv Spon	20200831	XNAS	MTLS.O	MTLS		2		2	L_S_131bdaf1-33ae-11ea-3e50-4399b127fdaa_Materialise Nv Spon_TBRX	TBRX	30200831	Reuters Elektron	Y
CERT SD3E NOV25 BDT CALL50 7Y | 26 NOV 25 | C | E | 952.7500000000	20200831	XXXX	26253480			2		2	O_811508fa-62b4-11e9-b160-4ad6f9df0bf5_CERT SD3E NOV25 BDT CALL50 7Y | 26 NOV 25 | C | E | 952.7500000000_TBRX	TBRX	30200831	Internal	Y
Dolby Laboratories	20200831	XNYS	USD:N:4:US25659T1079	DLB		2		2	L_S_131af090-33ae-11ea-3e50-4399b127fdaa_Dolby Laboratories_TBRX	TBRX	30200831	Virtu	N
ENERGY TRANSFER	20200831	XLON	147100	0S1Z	BD6TDV3	2		2	L_S_5a657cf4-1f2e-11e9-a2d0-b3645e528b7a_ENERGY TRANSFER_TBRX	TBRX	30200831	LSE Millennium	N
SLM CORPORATION	20200831	XNYS	USD:N:4:US78442P1066	SLM		2		2	L_S_251074f0-514c-11e9-b8d0-ec23cf8de3db_SLM CORPORATION_TBRX	TBRX	30200831	Virtu	N
G	20200831	XETR	2505802	G	B0YQ650	2		2	L_S_ef9f4880-1f2a-11e9-a2d0-b3645e528b7a_G_TBRX	TBRX	30200831	Xetra T7	N
G	20200831	XXSC	IT0000062072	G	B0YQ650	2		2	L_S_ef9f4880-1f2a-11e9-a2d0-b3645e528b7a_G_TBRX	TBRX	30200831	Internal	N
RWE	20200831	XETR	2505072	RWE		2		2	L_S_efa3419c-1f2a-11e9-a2d0-b3645e528b7a_RWE_TBRX	TBRX	30200831	Xetra T7	Y
RWE	20200831	PROS		RWE		2		2	L_S_efa3419c-1f2a-11e9-a2d0-b3645e528b7a_RWE_TBRX	TBRX	30200831	Proxy IMI	N
OPT_DDAXK MAY22 CATM - 3769 | 26 MAY 22 | C | E | 145.8900000000	20200831	XXXX	30678698	3769		2		2	O_bb7e0796-9e9d-11ea-a0a0-6b77645bee53_OPT_DDAXK MAY22 CATM - 3769 | 26 MAY 22 | C | E | 145.8900000000_TBRX	TBRX	30200831	Internal	Y
EP3 G SEPT20 CALL148 | 25 SEP 20 | C | E | 16.1616000000	20200831	XXXX	21224905			2		2	O_851bc51a-62b4-11e9-b160-4ad6f9df0bf5_EP3 G SEPT20 CALL148 | 25 SEP 20 | C | E | 16.1616000000_TBRX	TBRX	30200831	Internal	Y
SX5E FEB22 PATM PKB | 14 FEB 22 | P | E | 3488.0800000000	20200831	XXXX	17468018			2		5	O_7f334f92-62b4-11e9-b160-4ad6f9df0bf5_SX5E FEB22 PATM PKB | 14 FEB 22 | P | E | 3488.0800000000_TBRX	TBRX	30200831	Internal	Y
DJGT SEP20 C100 BOND | 03 SEP 20 | C | E | 220.8500000000	20200831	XXXX	18984406			2		5	O_822decac-62b4-11e9-b160-4ad6f9df0bf5_DJGT SEP20 C100 BOND | 03 SEP 20 | C | E | 220.8500000000_TBRX	TBRX	30200831	Internal	Y
I06354	20200831	SEDX	864377	I06354		2		2	L_S_b3b60e06-90e6-11ea-b430-b3e2b66d25c3_I06354_TBRX	TBRX	30200831	BIT SEDEX	Y
SPY Sep0 319.0 P | 18 SEP 20 | P | A | 319.0000000000	20200831	OPRA	SPYU182031900.U	SPY		2		2	O_1e1cb26c-db6c-11e9-9740-c68cbf4148f8_SPY Sep0 319.0 P | 18 SEP 20 | P | A | 319.0000000000_TBRX	TBRX	30200831	Reuters Elektron	Y
ESTX OIL&G PR	20200831	XEUR	.SXEE			2		2	L_S_7d17f808-5151-11e9-b8d0-ec23cf8de3db_ESTX OIL&G PR_TBRX	TBRX	30200831	Reuters Elektron	Y
AXA	20200831	XXXX	20755	AXA		2		2	L_S_efa1213c-1f2a-11e9-a2d0-b3645e528b7a_AXA_TBRX	TBRX	30200831	Internal	N
OPT_SD3E NOV21 CATM - 3605 | 23 NOV 21 | C | E | 1937.7400000000	20200831	XXXX	30828687	3605		2		5	O_4c5995da-b093-11ea-bdb0-f7127f36688c_OPT_SD3E NOV21 CATM - 3605 | 23 NOV 21 | C | E | 1937.7400000000_TBRX	TBRX	30200831	Internal	Y
VNE	20200831	XNYS	VNE.N	VNE		2		2	L_S_ea672c69-4c0c-11ea-abf4-48ee3337ad87_VNE_TBRX	TBRX	30200831	Reuters Elektron	Y
First Midwest Bancorp	20200831	XNAS	USD:O:4:US3208671046	FMBI		2		2	L_S_3b67de21-5fba-11ea-d516-ddf6eb7fe788_First Midwest Bancorp_TBRX	TBRX	30200831	Virtu	N
MIBO0U13500 | 18 SEP 20 | P | E | 13500.0000000000	20200831	XDMI	z2:IFXC	MIBO		1		1	O_c238d620-629c-11ea-b360-e4afb098eae1_MIBO0U13500 | 18 SEP 20 | P | E | 13500.0000000000_TBRX	TBRX	30200831	Borsa Italiana IDEM	Y
SD3E FEB22 CALL50 OTC - EPSILON | 11 FEB 22 | C | E | 954.4350000000	20200831	XXXX	26855078			2		5	O_c11a316c-7710-11e9-9400-98972329be46_SD3E FEB22 CALL50 OTC - EPSILON | 11 FEB 22 | C | E | 954.4350000000_TBRX	TBRX	30200831	OTC Derivatives	Y
ORCL I62 | 11 SEP 20 | C | A | 62.0000000000	20200831	OPRA	ORCLI112006200.U	ORCL200911C00062000		2		2	O_e321221a-e9d9-11ea-bb45-245e0d1c06b7_ORCL I62 | 11 SEP 20 | C | A | 62.0000000000_TBRX	TBRX	30200831	Reuters Elektron	Y
I06244	20200831	SEDX	857678	I06244		2		2	L_S_d3ae08f8-5211-11ea-8640-38c7f938b954_I06244_TBRX	TBRX	30200831	BIT SEDEX	Y
MIBO1F18000 | 18 JUN 21 | C | E | 18000.0000000000	20200831	XDMI	z2:IODA	MIBO		1		1	O_4cd23a12-1f30-11e9-a2d0-b3645e528b7a_MIBO1F18000 | 18 JUN 21 | C | E | 18000.0000000000_TBRX	TBRX	30200831	Borsa Italiana IDEM	Y
ALTABA	20200831	XXXX	31154	AABA-U		2		2	L_S_ef9c1868-1f2a-11e9-a2d0-b3645e528b7a_ALTABA_TBRX	TBRX	30200831	Internal	N
PAYCOM SOFTWARE	20200831	XLON	146622	0KGH	BG05Y93	2		2	L_S_5aefea92-1f2e-11e9-a2d0-b3645e528b7a_PAYCOM SOFTWARE_TBRX	TBRX	30200831	LSE Millennium	N
TIT0U0.385 | 18 SEP 20 | P | A | .3850000000	20200831	XDMI	xJ:I597	TIT		1		2	O_abb7e9d2-e2a7-11ea-88e0-76012705c10a_TIT0U0.385 | 18 SEP 20 | P | A | .3850000000_TBRX	TBRX	30200831	Borsa Italiana IDEM	Y
BRISTOL MYERS SQ	20200831	XNYS	BMY.N	BMY		2		2	L_S_5ad1f3ac-1f2e-11e9-a2d0-b3645e528b7a_BRISTOL MYERS SQ_TBRX	TBRX	30200831	Reuters Elektron	Y
ATL0L19 | 18 DEC 20 | C | A | 19.0000000000	20200831	XDMI	z8:IEP4	ATL		1		2	O_99326d0e-494d-11e9-9970-3027219c6795_ATL0L19 | 18 DEC 20 | C | A | 19.0000000000_TBRX	TBRX	30200831	Borsa Italiana IDEM	Y
OPT_EPC SD3E NOV26 CNP 3Y FLOOR - 5332 | 22 NOV 22 | C | E | .0001000000	20200831	XXXX	30678887	5332		2		2	O_bc907cfe-9e9d-11ea-a0a0-6b77645bee53_OPT_EPC SD3E NOV26 CNP 3Y FLOOR - 5332 | 22 NOV 22 | C | E | .0001000000_TBRX	TBRX	30200831	Internal	Y
SPM2R2.40 | 17 JUN 22 | P | A | 2.4000000000	20200831	XDMI	x9:IP96	SPM		1		2	O_7466ca28-9647-11e9-a180-91725b79faed_SPM2R2.40 | 17 JUN 22 | P | A | 2.4000000000_TBRX	TBRX	30200831	Borsa Italiana IDEM	Y
