F_CASH_DELIVERY	FIRST_MARGIN_CALL_DATE	STARDATE_RULE	UNDERLYINGID_NOTIONALBOND	STARTDATE	DESCRIPTION	CONVERSION_TYPE_MULTICURRENCY	EXPIRY_ID	DELIVERY_ENDDATE	CURRENCY	IMPLICIT_UNDERLYING_MKT	ISIN	LAST_NOTICERULE	EXPIRY_MATERIAL_ID	F_PRICE	F_LISTED	MARKET	FORWARD_QUOTATION	QUOTATION	EXPIRY_SET_ID	FUTURE_FACTOR	DELIVERY_STARTDATE	UNDERLYINGID_FE	EXPIRY_1D	F_MARGIN_CALL	LOTSIZE	IMPLICIT_UNDERLYING	EXPIRY_SET	MKT_TRDCLAUSE	COMMENT3	COMMENT2	COMMENT1	COMMENT0	COMMENT4	EXPIRY_SET_DESCRIPTION	DELIVERY_ENDRULE	INSTRUMENTID_FE	F_D_MARGIN_CALL	REF_DATE	UNDERLYINGID	MATURITY_COUNT	SENIORITY	EXPIRY_RULE	AUTO_ROLL	SECURITY_DEATH	F_PRICE_EVAL	UNDERLYING_TENOR	EXPIRY	RIC2	RIC1	RIC3	RIC0	EXPIRY_LABEL	F_SPLIT	SSL_FEID	FIRST_NOTICEDATE	MKT_SETTLRULE	FIRST_NOTICERULE	DELIVERY_STARTRULE	SSL_SNAPSHOT_DATE	EXPIRY_SET_CALENDAR	UNIT	F_QPERCENTAGE	LAST_NOTICEDATE	F_BULK_FLOW	FIID	BLOCK_NUMBER	QUOTATION_ENDDATE	QUOTATION_STARTDATE	TRADING_SYMBOL	CLEARING_CENTER_NAME	EXPIRY_DYN	DLV_PRODUCT	MARKET_CITY	CALL_LAG	DIV_FUTURE_TYPE	F_DIV_FUTURE
P					VIX FUT SEP0				USD													VIX FUT SEP0 | SEP 20			1000.0000000000											VIX FUT SEP0 | SEP 20		20200831	L_S_23f49280-1d6c-11ea-aaf0-413cb15b8cca_VIX FUT SEP0 | SEP 20_TBRX								20200916					SEP 20		TBRX					30200831						L_S_23f49280-1d6c-11ea-aaf0-413cb15b8cca_VIX FUT SEP0 | SEP 20_TBRX											N
C					FDAX 202009				EUR		DE000C4SA5W8											XETRA DAX PF			25.0000000000											FDAX 202009 | SEP 20		20200831	L_S_7d11861c-5151-11e9-b8d0-ec23cf8de3db_XETRA DAX PF_TBRX								20200918					SEP 20		TBRX					30200831						L_S_4997833e-254c-11ea-af50-2dba816f6810_FDAX 202009 | SEP 20_TBRX											N
C					FEDV 202009				EUR		DE000C4SA630											ESTX SD 30 PR			10.0000000000											FEDV 202009 | SEP 20		20200831	L_S_7d175f42-5151-11e9-b8d0-ec23cf8de3db_ESTX SD 30 PR_TBRX								20200918					SEP 20		TBRX					30200831						L_S_4997cc72-254c-11ea-af50-2dba816f6810_FEDV 202009 | SEP 20_TBRX											N
C					FESB 202009				EUR		DE000C4SA689											FESB 202009 | SEP 20			50.0000000000											FESB 202009 | SEP 20		20200831	L_S_4997fdf0-254c-11ea-af50-2dba816f6810_FESB 202009 | SEP 20_TBRX								20200918					SEP 20		TBRX					30200831						L_S_4997fdf0-254c-11ea-af50-2dba816f6810_FESB 202009 | SEP 20_TBRX											N
C					FESU 202009				EUR		DE000C4SA6P0											ESTX UTIL PR			50.0000000000											FESU 202009 | SEP 20		20200831	L_S_7d17b12c-5151-11e9-b8d0-ec23cf8de3db_ESTX UTIL PR_TBRX								20200918					SEP 20		TBRX					30200831						L_S_4998a642-254c-11ea-af50-2dba816f6810_FESU 202009 | SEP 20_TBRX											N
C					FSTB 202009				EUR		DE000C4SA7L7											STXE 600 BNK PR			50.0000000000											FSTB 202009 | SEP 20		20200831	L_S_7d17c3a6-5151-11e9-b8d0-ec23cf8de3db_STXE 600 BNK PR_TBRX								20200918					SEP 20		TBRX					30200831						L_S_4999dff8-254c-11ea-af50-2dba816f6810_FSTB 202009 | SEP 20_TBRX											N
C					FSTH 202009				EUR		DE000C4SA7S2											STXE 600 HECR PR			50.0000000000											FSTH 202009 | SEP 20		20200831	L_S_7d17ee58-5151-11e9-b8d0-ec23cf8de3db_STXE 600 HECR PR_TBRX								20200918					SEP 20		TBRX					30200831						L_S_499a2436-254c-11ea-af50-2dba816f6810_FSTH 202009 | SEP 20_TBRX											N
C					FSTT 202009				EUR		DE000C4SA804											STXE 600 TEL PR			50.0000000000											FSTT 202009 | SEP 20		20200831	L_S_7d1827c4-5151-11e9-b8d0-ec23cf8de3db_STXE 600 TEL PR_TBRX								20200918					SEP 20		TBRX					30200831						L_S_499a7ea4-254c-11ea-af50-2dba816f6810_FSTT 202009 | SEP 20_TBRX											N
C					FXXE 202009				EUR		DE000C4SA8E0											ESTX PR			50.0000000000											FXXE 202009 | SEP 20		20200831	L_S_7d39807c-5151-11e9-b8d0-ec23cf8de3db_ESTX PR_TBRX								20200918					SEP 20		TBRX					30200831						L_S_499adf34-254c-11ea-af50-2dba816f6810_FXXE 202009 | SEP 20_TBRX											N
C					FIB0I				EUR		IT0016088657											FIB0I | SEP 20			5.0000000000											FIB0I | SEP 20		20200831	L_S_87f776a4-ddc9-11e9-9eb0-e7766f5ef7bc_FIB0I | SEP 20_TBRX								20200918					SEP 20		TBRX					30200831						L_S_87f776a4-ddc9-11e9-9eb0-e7766f5ef7bc_FIB0I | SEP 20_TBRX											N
