ISS_NUMOUT	INSTRUMENTID_FE	ISS_PRICE	UNDERLYINGID	MKT_TRDCLAUSE	MKT_SETTL_CONV	F_TAX_CREDIT	MKT_SETTL_TYPE	ORIGINAL_CURRENCY	RIC3	RIC1	RIC2	RIC0	ISSUERID	MKT_SETTL_PAYSHIFT	FIID	MKT_SETTLRULE	GUARANTOR	LOTSIZE1	LOTSIZE0	MARKET	CURRENCY	F_GUARANTED	SSL_SNAPSHOT_DATE	ISIN	DESCRIPTION	QUOTATION	ISS_NUM	F_QPERCENTAGE	UNDERLYINGID_FE	LEADMANAGER	ISS_DATE	SENIORITY	F_QDIRTY	SSL_FEID	SECURITY_DEATH	F_DIVIDEND_GEN_MODE	REF_DATE	CLEARING_CENTER_NAME
	MERCK		L_S_efa38f80-1f2a-11e9-a2d0-b3645e528b7a_MERCK_TBRX				Cash						MERCK_TBRX		L_S_efa38f80-1f2a-11e9-a2d0-b3645e528b7a_MERCK_TBRX				1.0000000000	 	EUR		30200831.0000000000	DE0006599905	MERCK		0		MERCK		20170707		0	TBRX			20200831	
	INTRCTNTL EXCHNG		L_S_5ac9560c-1f2e-11e9-a2d0-b3645e528b7a_INTRCTNTL EXCHNG_TBRX				Cash						0C2005_TBRX		L_S_5ac9560c-1f2e-11e9-a2d0-b3645e528b7a_INTRCTNTL EXCHNG_TBRX				1.0000000000	 	USD		30200831.0000000000	US45866F1049	INTERCONTINENTA		0		INTRCTNTL EXCHNG		20180118		0	TBRX			20200831	
	AMERIPRISE FINCL		L_S_5aa5b47c-1f2e-11e9-a2d0-b3645e528b7a_AMERIPRISE FINCL_TBRX				Cash						0C7854_TBRX		L_S_5aa5b47c-1f2e-11e9-a2d0-b3645e528b7a_AMERIPRISE FINCL_TBRX				1.0000000000	 	USD		30200831.0000000000	US03076C1062	AMERIPRISE FINA		0		AMERIPRISE FINCL		20180118		0	TBRX			20200831	
	AMEDICAL		L_S_4fe28d60-6e8e-11ea-c3a3-f39d0e896d95_AMEDICAL_TBRX				Cash								L_S_4fe28d60-6e8e-11ea-c3a3-f39d0e896d95_AMEDICAL_TBRX				1.0000000000	 	USD		30200831.0000000000	US0234361089			0		AMEDICAL				0	TBRX			20200831	
	CAC 40 INDEX		L_S_7d16e0ee-5151-11e9-b8d0-ec23cf8de3db_CAC 40 INDEX_TBRX				Cash								L_S_7d16e0ee-5151-11e9-b8d0-ec23cf8de3db_CAC 40 INDEX_TBRX				10.0000000000	 	EUR		30200831.0000000000	FR0003500008	CAC 40 INDEX		0		CAC 40 INDEX				0	TBRX			20200831	
	FED RLTY INV TR		L_S_5b222a5c-1f2e-11e9-a2d0-b3645e528b7a_FED RLTY INV TR_TBRX				Cash						0B6105_TBRX		L_S_5b222a5c-1f2e-11e9-a2d0-b3645e528b7a_FED RLTY INV TR_TBRX				1.0000000000	 	USD		30200831.0000000000	US3137472060	FEDERAL REIT OR		0		FED RLTY INV TR		20180118		0	TBRX			20200831	
	SABR		L_S_363fbda6-6cdd-11e9-a7f0-e0a05e35b460_SABR_TBRX				Cash								L_S_363fbda6-6cdd-11e9-a7f0-e0a05e35b460_SABR_TBRX				1.0000000000	 	USD		30200831.0000000000	US78573M1045			0		SABR				0	TBRX			20200831	
	Grupo Aeroportuario del Sureste SAB de CV		L_S_2584698c-514c-11e9-b8d0-ec23cf8de3db_Grupo Aeroportuario del Sureste SAB de CV_TBRX				Cash								L_S_2584698c-514c-11e9-b8d0-ec23cf8de3db_Grupo Aeroportuario del Sureste SAB de CV_TBRX				1.0000000000	 	USD		30200831.0000000000	US40051E2028	GP AERO SURESTE		0		Grupo Aeroportuario del Sureste SAB de CV				0	TBRX			20200831	
	ACUSHNET HOLDINGS CORP		L_S_2583a8d0-514c-11e9-b8d0-ec23cf8de3db_ACUSHNET HOLDINGS CORP_TBRX				Cash								L_S_2583a8d0-514c-11e9-b8d0-ec23cf8de3db_ACUSHNET HOLDINGS CORP_TBRX				1.0000000000	 	USD		30200831.0000000000	US0050981085	ACUSHNET HOLDING		0		ACUSHNET HOLDINGS CORP				0	TBRX			20200831	
	DAIMLER		L_S_efa14748-1f2a-11e9-a2d0-b3645e528b7a_DAIMLER_TBRX				Cash						DAIMLER_TBRX		L_S_efa14748-1f2a-11e9-a2d0-b3645e528b7a_DAIMLER_TBRX				1.0000000000	 	EUR		30200831.0000000000	DE0007100000	DAIMLER		0		DAIMLER		20100104		0	TBRX			20200831	
	MOTOROLA SOL USD		L_S_5a835440-1f2e-11e9-a2d0-b3645e528b7a_MOTOROLA SOL USD_TBRX				Cash						0C8432_TBRX		L_S_5a835440-1f2e-11e9-a2d0-b3645e528b7a_MOTOROLA SOL USD_TBRX				1.0000000000	 	USD		30200831.0000000000	US6200763075	MOTOROLA SOLUTI		0		MOTOROLA SOL USD		20180118		0	TBRX			20200831	
	Mantech		L_S_53d05501-99f9-11ea-2035-75c86b6be38f_Mantech_TBRX				Cash								L_S_53d05501-99f9-11ea-2035-75c86b6be38f_Mantech_TBRX				1.0000000000	 	USD		30200831.0000000000	US5645631046			0		Mantech				0	TBRX			20200831	
	ZUR ROSE ORD		L_S_5ae646e0-1f2e-11e9-a2d0-b3645e528b7a_ZUR ROSE ORD_TBRX				Cash						0A9474_TBRX		L_S_5ae646e0-1f2e-11e9-a2d0-b3645e528b7a_ZUR ROSE ORD_TBRX				1.0000000000	 	CHF		30200831.0000000000	CH0042615283	ZUR ROSE ORD		0		ZUR ROSE ORD		20170712		0	TBRX			20200831	
	BZU		L_S_ef9fc3a0-1f2a-11e9-a2d0-b3645e528b7a_BZU_TBRX				Cash						BUZZI UNICEM_TBRX		L_S_ef9fc3a0-1f2a-11e9-a2d0-b3645e528b7a_BZU_TBRX				1.0000000000	 	EUR		30200831.0000000000	IT0001347308	BUZZI UNICEM		0		BZU		20081110		0	TBRX			20200831	
	CENTURYLINK INC		L_S_5b25647e-1f2e-11e9-a2d0-b3645e528b7a_CENTURYLINK INC_TBRX				Cash						0B7999_TBRX		L_S_5b25647e-1f2e-11e9-a2d0-b3645e528b7a_CENTURYLINK INC_TBRX				1.0000000000	 	USD		30200831.0000000000	US1567001060	CENTURYLINK ORD		0		CENTURYLINK INC		20180115		0	TBRX			20200831	
	ESTX UTIL PR		L_S_7d17b12c-5151-11e9-b8d0-ec23cf8de3db_ESTX UTIL PR_TBRX				Cash								L_S_7d17b12c-5151-11e9-b8d0-ec23cf8de3db_ESTX UTIL PR_TBRX				50.0000000000	 	EUR		30200831.0000000000	EU0009658582	ESTX UTIL PR		0		ESTX UTIL PR				0	TBRX			20200831	
	CRH PLC		L_S_24fa2376-514c-11e9-b8d0-ec23cf8de3db_CRH PLC_TBRX				Cash								L_S_24fa2376-514c-11e9-b8d0-ec23cf8de3db_CRH PLC_TBRX				1.0000000000	 	EUR		30200831.0000000000	IE0001827041	CRH PLC		0		CRH PLC				0	TBRX			20200831	
	CLOUDERA INC		L_S_5a98c8f2-1f2e-11e9-a2d0-b3645e528b7a_CLOUDERA INC_TBRX				Cash						0C5058_TBRX		L_S_5a98c8f2-1f2e-11e9-a2d0-b3645e528b7a_CLOUDERA INC_TBRX				1.0000000000	 	USD		30200831.0000000000	US18914U1007	CLOUDERA ORD		0		CLOUDERA INC		20180124		0	TBRX			20200831	
	REC		L_S_efa24d8c-1f2a-11e9-a2d0-b3645e528b7a_REC_TBRX				Cash						RECORDATI_TBRX		L_S_efa24d8c-1f2a-11e9-a2d0-b3645e528b7a_REC_TBRX				1.0000000000	 	EUR		30200831.0000000000	IT0003828271	RECORDATI ORD		0		REC		20081110		0	TBRX			20200831	
	ALTABA		L_S_5a5a7eb2-1f2e-11e9-a2d0-b3645e528b7a_ALTABA_TBRX				Cash						0A9453_TBRX		L_S_5a5a7eb2-1f2e-11e9-a2d0-b3645e528b7a_ALTABA_TBRX				1.0000000000	 	USD		30200831.0000000000	US0213461017	ALTABA INC ORD		0		ALTABA		20180124		0	TBRX			20200831	
	STXE 600 CHEM PR		L_S_7d17a812-5151-11e9-b8d0-ec23cf8de3db_STXE 600 CHEM PR_TBRX				Cash								L_S_7d17a812-5151-11e9-b8d0-ec23cf8de3db_STXE 600 CHEM PR_TBRX				50.0000000000	 	EUR		30200831.0000000000	EU0009658608	STXE 600 CHEM PR		0		STXE 600 CHEM PR				0	TBRX			20200831	
	Steven Madden Ltd		L_S_ae6bc452-76f9-11e9-8580-879491dfe119_Steven Madden Ltd_TBRX				Cash								L_S_ae6bc452-76f9-11e9-8580-879491dfe119_Steven Madden Ltd_TBRX				1.0000000000	 	USD		30200831.0000000000	US5562691080			0		Steven Madden Ltd				0	TBRX			20200831	
	CHRLS SCHWB CRP		L_S_5ae29bf8-1f2e-11e9-a2d0-b3645e528b7a_CHRLS SCHWB CRP_TBRX				Cash						0B8747_TBRX		L_S_5ae29bf8-1f2e-11e9-a2d0-b3645e528b7a_CHRLS SCHWB CRP_TBRX				1.0000000000	 	USD		30200831.0000000000	US8085131055	CHARLES SCHWAB		0		CHRLS SCHWB CRP		20180115		0	TBRX			20200831	
	CIMAREX ENERGY		L_S_5a488694-1f2e-11e9-a2d0-b3645e528b7a_CIMAREX ENERGY_TBRX				Cash						0C4605_TBRX		L_S_5a488694-1f2e-11e9-a2d0-b3645e528b7a_CIMAREX ENERGY_TBRX				1.0000000000	 	USD		30200831.0000000000	US1717981013	CIMAREX ENERGY		0		CIMAREX ENERGY		20180118		0	TBRX			20200831	
	Razer		L_S_317c75ac-8876-11ea-992d-f9ba5e152c87_Razer_TBRX				Cash								L_S_317c75ac-8876-11ea-992d-f9ba5e152c87_Razer_TBRX				1.0000000000	 	HKD		30200831.0000000000	KYG7397A1067			0		Razer				0	TBRX			20200831	
	QF ATLANTIC 2 Delisted		L_S_efc5878e-20ba-11e9-ae50-47deb3124dc8_QF ATLANTIC 2 Delisted_TBRX				Cash								L_S_efc5878e-20ba-11e9-ae50-47deb3124dc8_QF ATLANTIC 2 Delisted_TBRX				1.0000000000	 	EUR		30200831.0000000000	IT0003855696	QF ATLANTIC 2 Delisted		0		QF ATLANTIC 2 Delisted				0	TBRX			20200831	
	RINGCENTRAL CL		L_S_5b19f36e-1f2e-11e9-a2d0-b3645e528b7a_RINGCENTRAL CL_TBRX				Cash						0D0507_TBRX		L_S_5b19f36e-1f2e-11e9-a2d0-b3645e528b7a_RINGCENTRAL CL_TBRX				1.0000000000	 	USD		30200831.0000000000	US76680R2067	RINGCENTRAL CL		0		RINGCENTRAL CL		20180725		0	TBRX			20200831	
	Aquabounty Technologies		L_S_e2a36974-e788-11ea-b847-52a32f7b9b85_Aquabounty Technologies_TBRX				Cash								L_S_e2a36974-e788-11ea-b847-52a32f7b9b85_Aquabounty Technologies_TBRX				1.0000000000	 	USD		30200831.0000000000	US03842K2006			0		Aquabounty Technologies				0	TBRX			20200831	
	AMETEK		L_S_5b1031da-1f2e-11e9-a2d0-b3645e528b7a_AMETEK_TBRX				Cash						0C6484_TBRX		L_S_5b1031da-1f2e-11e9-a2d0-b3645e528b7a_AMETEK_TBRX				1.0000000000	 	USD		30200831.0000000000	US0311001004	AMETEK ORD		0		AMETEK		20180118		0	TBRX			20200831	
	Otter Tail		L_S_addd3866-6767-11ea-2e30-ea699f430b9a_Otter Tail_TBRX				Cash								L_S_addd3866-6767-11ea-2e30-ea699f430b9a_Otter Tail_TBRX				1.0000000000	 	USD		30200831.0000000000	US6896481032			0		Otter Tail				0	TBRX			20200831	
	TVTY		L_S_2525bb9e-514c-11e9-b8d0-ec23cf8de3db_TVTY_TBRX				Cash								L_S_2525bb9e-514c-11e9-b8d0-ec23cf8de3db_TVTY_TBRX				1.0000000000	 	USD		30200831.0000000000	US88870R1023	TIVITY HELTH INC		0		TVTY				0	TBRX			20200831	
	ESTX CHEM PR		L_S_7d17a380-5151-11e9-b8d0-ec23cf8de3db_ESTX CHEM PR_TBRX				Cash								L_S_7d17a380-5151-11e9-b8d0-ec23cf8de3db_ESTX CHEM PR_TBRX				50.0000000000	 	EUR		30200831.0000000000	EU0009658228	ESTX CHEM PR		0		ESTX CHEM PR				0	TBRX			20200831	
	CRITEO SA		L_S_5b256e74-1f2e-11e9-a2d0-b3645e528b7a_CRITEO SA_TBRX				Cash						0C4208_TBRX		L_S_5b256e74-1f2e-11e9-a2d0-b3645e528b7a_CRITEO SA_TBRX				1.0000000000	 	USD		30200831.0000000000	US2267181046	CRITEO ADR REP		0		CRITEO SA		20180115		0	TBRX			20200831	
	TIP		L_S_efa0b152-1f2a-11e9-a2d0-b3645e528b7a_TIP_TBRX				Cash						TAMBURI INVESTMENT PARTNERS _TBRX		L_S_efa0b152-1f2a-11e9-a2d0-b3645e528b7a_TIP_TBRX				1.0000000000	 	EUR		30200831.0000000000	IT0003153621	TAMBURI		0		TIP		20081110		0	TBRX			20200831	
	PEARSON		L_S_5ac59e0e-1f2e-11e9-a2d0-b3645e528b7a_PEARSON_TBRX				Cash						PEAV_TBRX		L_S_5ac59e0e-1f2e-11e9-a2d0-b3645e528b7a_PEARSON_TBRX				1.0000000000	 	GBP		30200831.0000000000	GB0006776081	PEARSON		0		PEARSON		20031124		0	TBRX			20200831	
	POLYMETAL INT		L_S_5a37b51c-1f2e-11e9-a2d0-b3645e528b7a_POLYMETAL INT_TBRX				Cash						POLYIN_TBRX		L_S_5a37b51c-1f2e-11e9-a2d0-b3645e528b7a_POLYMETAL INT_TBRX				1.0000000000	 	GBP		30200831.0000000000	JE00B6T5S470	POLYMETAL INT		0		POLYMETAL INT		20111028		0	TBRX			20200831	
	NEXTERA ENERGY		L_S_5a810de8-1f2e-11e9-a2d0-b3645e528b7a_NEXTERA ENERGY_TBRX				Cash						0B8635_TBRX		L_S_5a810de8-1f2e-11e9-a2d0-b3645e528b7a_NEXTERA ENERGY_TBRX				1.0000000000	 	USD		30200831.0000000000	US65339F1012	NEXTERA ENERGY		0		NEXTERA ENERGY		20180118		0	TBRX			20200831	
	PHILIP MORRIS EUR		L_S_250ee09a-514c-11e9-b8d0-ec23cf8de3db_PHILIP MORRIS USD_TBRX				Cash						0D9403_TBRX		L_S_34154f5c-1f2e-11e9-a2d0-b3645e528b7a_PHILIP MORRIS EUR_TBRX				1.0000000000	 	EUR		30200831.0000000000	US7181721090	PHILIP MORRIS INTERNATIONAL		0		PHILIP MORRIS USD		20080415		0	TBRX			20200831	
	LYFT INC		L_S_3b435de0-65ca-11e9-b1d0-d1631eb3ac1e_LYFT INC_TBRX				Cash						0H6701_TBRX		L_S_3b435de0-65ca-11e9-b1d0-d1631eb3ac1e_LYFT INC_TBRX				1.0000000000	 	USD		30200831.0000000000	US55087P1049	LYFT INC		0		LYFT INC		20191003		0	TBRX			20200831	
	WHITBREAD		L_S_5b0b436e-1f2e-11e9-a2d0-b3645e528b7a_WHITBREAD_TBRX				Cash						WHWTB_TBRX		L_S_5b0b436e-1f2e-11e9-a2d0-b3645e528b7a_WHITBREAD_TBRX				1.0000000000	 	GBP		30200831.0000000000	GB00B1KJJ408	WHITBREAD		0		WHITBREAD		20070108		0	TBRX			20200831	
	WELLS FARGO & CO		L_S_5a51a8c8-1f2e-11e9-a2d0-b3645e528b7a_WELLS FARGO & CO_TBRX				Cash						0A8072_TBRX		L_S_5a51a8c8-1f2e-11e9-a2d0-b3645e528b7a_WELLS FARGO & CO_TBRX				1.0000000000	 	USD		30200831.0000000000	US9497461015	WELLS FARGO ORD		0		WELLS FARGO & CO		20180115		0	TBRX			20200831	
	HUYA ADR CL A O		L_S_5af20aac-1f2e-11e9-a2d0-b3645e528b7a_HUYA ADR CL A O_TBRX				Cash						0G8780_TBRX		L_S_5af20aac-1f2e-11e9-a2d0-b3645e528b7a_HUYA ADR CL A O_TBRX				1.0000000000	 	USD		30200831.0000000000	US44852D1081	HUYA ADR CL A O		0		HUYA ADR CL A O		20180718		0	TBRX			20200831	
	EXO		L_S_efa4911e-1f2a-11e9-a2d0-b3645e528b7a_EXO_TBRX				Cash						EXOR N.V._TBRX		L_S_efa4911e-1f2a-11e9-a2d0-b3645e528b7a_EXO_TBRX				1.0000000000	 	EUR		30200831.0000000000	NL0012059018	EXOR		0		EXO		20161212		0	TBRX			20200831	
	GENERAL ELEC EUR		L_S_2507d4d0-514c-11e9-b8d0-ec23cf8de3db_GENERAL ELEC USD_TBRX				Cash						General Electric Co._TBRX		L_S_6e48f5be-1f2b-11e9-a2d0-b3645e528b7a_GENERAL ELEC EUR_TBRX				1.0000000000	 	EUR		30200831.0000000000	US3696041033	GE SCF		0		GENERAL ELEC USD		20010213		0	TBRX			20200831	
	MEDICAL PRPS TR		L_S_5ab7f984-1f2e-11e9-a2d0-b3645e528b7a_MEDICAL PRPS TR_TBRX				Cash						0C5943_TBRX		L_S_5ab7f984-1f2e-11e9-a2d0-b3645e528b7a_MEDICAL PRPS TR_TBRX				1.0000000000	 	USD		30200831.0000000000	US58463J3041	MEDICAL PROPERT		0		MEDICAL PRPS TR		20180125		0	TBRX			20200831	
	Wintrust Financial		L_S_b3d840f5-3df4-11ea-2dcb-1a2c368101bf_Wintrust Financial_TBRX				Cash								L_S_b3d840f5-3df4-11ea-2dcb-1a2c368101bf_Wintrust Financial_TBRX				1.0000000000	 	USD		30200831.0000000000	US97650W1080			0		Wintrust Financial				0	TBRX			20200831	
	MICRON TECH USD		L_S_5b15da18-1f2e-11e9-a2d0-b3645e528b7a_MICRON TECH USD_TBRX				Cash						0A7992_TBRX		L_S_5b15da18-1f2e-11e9-a2d0-b3645e528b7a_MICRON TECH USD_TBRX				1.0000000000	 	USD		30200831.0000000000	US5951121038	MICRON TECHNOLO		0		MICRON TECH USD		20180115		0	TBRX			20200831	
	GOLD		L_S_24fca204-514c-11e9-b8d0-ec23cf8de3db_GOLD_TBRX				Cash								L_S_24fca204-514c-11e9-b8d0-ec23cf8de3db_GOLD_TBRX				1.0000000000	 	USD		30200831.0000000000	CA0679011084			0		GOLD				0	TBRX			20200831	
	Chuy		L_S_38e989a2-856d-11ea-b7e8-9b0947f592a0_Chuy_TBRX				Cash								L_S_38e989a2-856d-11ea-b7e8-9b0947f592a0_Chuy_TBRX				1.0000000000	 	USD		30200831.0000000000	US1716041017			0		Chuy				0	TBRX			20200831	
	THE TRD DESK INC		L_S_5ac44342-1f2e-11e9-a2d0-b3645e528b7a_THE TRD DESK INC_TBRX				Cash						0B6525_TBRX		L_S_5ac44342-1f2e-11e9-a2d0-b3645e528b7a_THE TRD DESK INC_TBRX				1.0000000000	 	USD		30200831.0000000000	US88339J1051	TRADE DESK CL A		0		THE TRD DESK INC		20180124		0	TBRX			20200831	
	ZV		L_S_efa3ff9c-1f2a-11e9-a2d0-b3645e528b7a_ZV_TBRX				Cash						ZIGNAGO VETRO_TBRX		L_S_efa3ff9c-1f2a-11e9-a2d0-b3645e528b7a_ZV_TBRX				1.0000000000	 	EUR		30200831.0000000000	IT0004171440	ZIGNAGO VETRO		0		ZV		20081110		0	TBRX			20200831	
	CYMABAY THERAPE		L_S_5afd7b26-1f2e-11e9-a2d0-b3645e528b7a_CYMABAY THERAPE_TBRX				Cash						0B6938_TBRX		L_S_5afd7b26-1f2e-11e9-a2d0-b3645e528b7a_CYMABAY THERAPE_TBRX				1.0000000000	 	USD		30200831.0000000000	US23257D1037	CYMABAY THERAPE		0		CYMABAY THERAPE		20180125		0	TBRX			20200831	
	SCOTTS MIRACLE		L_S_5a780400-1f2e-11e9-a2d0-b3645e528b7a_SCOTTS MIRACLE_TBRX				Cash						0B6496_TBRX		L_S_5a780400-1f2e-11e9-a2d0-b3645e528b7a_SCOTTS MIRACLE_TBRX				1.0000000000	 	USD		30200831.0000000000	US8101861065	SCOTTS MIRACLE		0		SCOTTS MIRACLE		20180115		0	TBRX			20200831	
	ISH MSCI WRLD MIN VOL GER		L_S_d05e5f3c-ad5b-11e9-a010-dbedd71ff5a9_ISHARES MSCI WORLD MIN VOLAT UCITS ETF_TBRX				Cash						BlackRock Asset Management Ireland Ltd._TBRX		L_S_30f9fd0c-ad5b-11e9-a010-dbedd71ff5a9_ISH MSCI WRLD MIN VOL GER_TBRX				1.0000000000	 	EUR		30200831.0000000000	IE00B8FHGS14	ISHS VI-E.MSCI WL.M.V.DLA		0		ISHARES MSCI WORLD MIN VOLAT UCITS ETF				0	TBRX			20200831	
	MOELIS & CO		L_S_389d1b76-5d19-11e9-92d0-7d8de20327c9_MOELIS & CO_TBRX				Cash								L_S_389d1b76-5d19-11e9-92d0-7d8de20327c9_MOELIS & CO_TBRX				1.0000000000	 	USD		30200831.0000000000	US60786M1053			0		MOELIS & CO				0	TBRX			20200831	
	FAU		L_S_6e45c74a-1f2b-11e9-a2d0-b3645e528b7a_FAU_TBRX				Cash						0A3704_TBRX		L_S_6e45c74a-1f2b-11e9-a2d0-b3645e528b7a_FAU_TBRX				1.0000000000	 	EUR		30200831.0000000000	FR0000121147	FAURECIA		0		FAU		20180517		0	TBRX			20200831	
	FIN Delisted		L_S_89954d40-20bb-11e9-ae50-47deb3124dc8_FIN Delisted_TBRX				Cash								L_S_89954d40-20bb-11e9-ae50-47deb3124dc8_FIN Delisted_TBRX				1.0000000000	 	EUR		30200831.0000000000	IT0001391694	FIN Delisted		0		FIN Delisted				0	TBRX			20200831	
	CBG.N		L_S_5a87158a-1f2e-11e9-a2d0-b3645e528b7a_CBG.N_TBRX				Cash						0B6042_TBRX		L_S_5a87158a-1f2e-11e9-a2d0-b3645e528b7a_CBG.N_TBRX				1.0000000000	 	USD		30200831.0000000000	US12504L1098	CBRE GROUP CL A		0		CBG.N		20180118		0	TBRX			20200831	
	1UD		L_S_2e2db346-de86-11e9-aa30-0f30bc25b079_1UD_TBRX				Cash						TeamViewer AG_TBRX		L_S_2e2db346-de86-11e9-aa30-0f30bc25b079_1UD_TBRX				1.0000000000	 	EUR		30200831.0000000000	DE000A2YN900	TEAMVIEWER AG  INH O.N.		0		1UD		20191122		0	TBRX			20200831	
	Procure Space ETF		L_S_62d6d280-cc10-11ea-d043-828c83454fbb_Procure Space ETF_TBRX				Cash								L_S_62d6d280-cc10-11ea-d043-828c83454fbb_Procure Space ETF_TBRX				1.0000000000	 	USD		30200831.0000000000	US74280R2058			0		Procure Space ETF				0	TBRX			20200831	
	CHEVRON USD		L_S_5b1238ea-1f2e-11e9-a2d0-b3645e528b7a_CHEVRON USD_TBRX				Cash						0A7981_TBRX		L_S_5b1238ea-1f2e-11e9-a2d0-b3645e528b7a_CHEVRON USD_TBRX				1.0000000000	 	USD		30200831.0000000000	US1667641005	CHEVRON ORD		0		CHEVRON USD		20180115		0	TBRX			20200831	
	ILM1		L_S_e335316c-1f2b-11e9-a2d0-b3645e528b7a_ILM1_TBRX				Cash						Medios AG_TBRX		L_S_e335316c-1f2b-11e9-a2d0-b3645e528b7a_ILM1_TBRX				1.0000000000	 	EUR		30200831.0000000000	DE000A1MMCC8	MEDIOS		0		ILM1		20180727		0	TBRX			20200831	
	COMCAST USD		L_S_5aa04532-1f2e-11e9-a2d0-b3645e528b7a_COMCAST USD_TBRX				Cash						0C6245_TBRX		L_S_5aa04532-1f2e-11e9-a2d0-b3645e528b7a_COMCAST USD_TBRX				1.0000000000	 	USD		30200831.0000000000	US20030N1019	COMCAST CORP A		0		COMCAST USD		20180115		0	TBRX			20200831	
	PEOPLE UNTD FIN		L_S_5a6bcb7c-1f2e-11e9-a2d0-b3645e528b7a_PEOPLE UNTD FIN_TBRX				Cash						0C4976_TBRX		L_S_5a6bcb7c-1f2e-11e9-a2d0-b3645e528b7a_PEOPLE UNTD FIN_TBRX				1.0000000000	 	USD		30200831.0000000000	US7127041058	PEOPLES UNITED		0		PEOPLE UNTD FIN		20180118		0	TBRX			20200831	
	AIR PRODS & CHEM		L_S_5b0de01a-1f2e-11e9-a2d0-b3645e528b7a_AIR PRODS & CHEM_TBRX				Cash						0C0532_TBRX		L_S_5b0de01a-1f2e-11e9-a2d0-b3645e528b7a_AIR PRODS & CHEM_TBRX				1.0000000000	 	USD		30200831.0000000000	US0091581068	AIR PRODUCTS AN		0		AIR PRODS & CHEM		20180115		0	TBRX			20200831	
	MN		L_S_efa200f2-1f2a-11e9-a2d0-b3645e528b7a_MN_TBRX				Cash						MONDADORI EDITORE_TBRX		L_S_efa200f2-1f2a-11e9-a2d0-b3645e528b7a_MN_TBRX				1.0000000000	 	EUR		30200831.0000000000	IT0001469383	MONDADORI EDIT     .		0		MN		20081110		0	TBRX			20200831	
	CAMPBELL SOUP CO		L_S_5ad383fc-1f2e-11e9-a2d0-b3645e528b7a_CAMPBELL SOUP CO_TBRX				Cash						0B8173_TBRX		L_S_5ad383fc-1f2e-11e9-a2d0-b3645e528b7a_CAMPBELL SOUP CO_TBRX				1.0000000000	 	USD		30200831.0000000000	US1344291091	CAMPBELL SOUP O		0		CAMPBELL SOUP CO		20180118		0	TBRX			20200831	
	K12		L_S_cb0ac375-5e31-11ea-c63d-036902a9a7a0_K12_TBRX				Cash								L_S_cb0ac375-5e31-11ea-c63d-036902a9a7a0_K12_TBRX				1.0000000000	 	USD		30200831.0000000000	US48273U1025			0		K12				0	TBRX			20200831	
	HOULIHAN LOKEY INC		L_S_c4617f88-56b8-11e9-b970-658c421d7d67_HOULIHAN LOKEY INC_TBRX				Cash								L_S_c4617f88-56b8-11e9-b970-658c421d7d67_HOULIHAN LOKEY INC_TBRX				1.0000000000	 	USD		30200831.0000000000	US4415931009			0		HOULIHAN LOKEY INC				0	TBRX			20200831	
	GENERAL MOTORS USD		L_S_5afb7eca-1f2e-11e9-a2d0-b3645e528b7a_GENERAL MOTORS USD_TBRX				Cash						0A7973_TBRX		L_S_5afb7eca-1f2e-11e9-a2d0-b3645e528b7a_GENERAL MOTORS USD_TBRX				1.0000000000	 	USD		30200831.0000000000	US37045V1008	GENERAL MOTORS		0		GENERAL MOTORS USD		20180115		0	TBRX			20200831	
	VERTEX PHARM		L_S_5ab01ce6-1f2e-11e9-a2d0-b3645e528b7a_VERTEX PHARM_TBRX				Cash						0A8026_TBRX		L_S_5ab01ce6-1f2e-11e9-a2d0-b3645e528b7a_VERTEX PHARM_TBRX				1.0000000000	 	USD		30200831.0000000000	US92532F1003	VERTEX PHARMACE		0		VERTEX PHARM		20180118		0	TBRX			20200831	
	UCG		L_S_efa29670-1f2a-11e9-a2d0-b3645e528b7a_UCG_TBRX				Cash						UNICREDIT_TBRX		L_S_efa29670-1f2a-11e9-a2d0-b3645e528b7a_UCG_TBRX				1.0000000000	 	EUR		30200831.0000000000	IT0005239360	UNICREDIT		0		UCG		20081110		0	TBRX			20200831	
	DSV		L_S_5a538058-1f2e-11e9-a2d0-b3645e528b7a_DSV_TBRX				Cash						0D9060_TBRX		L_S_5a538058-1f2e-11e9-a2d0-b3645e528b7a_DSV_TBRX				1.0000000000	 	DKK		30200831.0000000000	DK0060079531	DSV ORD		0		DSV		20081023		0	TBRX			20200831	
	GODYR TIRE & RBR		L_S_251e378e-514c-11e9-b8d0-ec23cf8de3db_GODYR TIRE & RBR_TBRX				Cash								L_S_251e378e-514c-11e9-b8d0-ec23cf8de3db_GODYR TIRE & RBR_TBRX				1.0000000000	 	USD		30200831.0000000000	US3825501014	GODYR TIRE & RBR		0		GODYR TIRE & RBR				0	TBRX			20200831	
	EXXON MOBIL USD		L_S_5a993f30-1f2e-11e9-a2d0-b3645e528b7a_EXXON MOBIL USD_TBRX				Cash						0B4113_TBRX		L_S_5a993f30-1f2e-11e9-a2d0-b3645e528b7a_EXXON MOBIL USD_TBRX				1.0000000000	 	USD		30200831.0000000000	US30231G1022	EXXON MOBIL		0		EXXON MOBIL USD		20180108		0	TBRX			20200831	
