ASSETCLASS_DES	NEW_MTYPE	DESCRIPTION_EXT	FI_TYPE	NUMBEROFPHASES	INSTRUMENT_FE	ASSETCLASS	NEW_MGROUP	SSL_FEID	SEC_REFERENCE	F_ISLISTED	TYPOLOGY_DES	SEC_GROUP	DESCRIPTION	COMMENT1	COMMENT0	COMMENT2	ISSUERID	TYPE_DES	FIID	SEC_TYPE	PHASE	ISIN	GROUP_DES	INSTRUMENTID_FE	MTYPE	FAMILY_DES	NEW_MFAMILY	F_LABELCHG	SSL_SNAPSHOT_DATE	TYPOLOGY	MFAMILY	SEC_CATEGORY	REF_DATE	NEW_TYPOLOGY	STRUCTID_FE	INSTRUMENTNUM_FE	MGROUP	QUANTITYFACTOR
	Common/Ordinary shares		FI_EQUITY	1.0000000000	RELIANCE STEEL		Equities	TBRX		Y		Equities	RELIANCE STEEL						L_S_2510349a-514c-11e9-b8d0-ec23cf8de3db_RELIANCE STEEL_TBRX	Equities	0.0000000000	US7595091023		RELIANCE STEEL			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Call		FI_OPTION	1.0000000000	DDAXK MAY22 CCAP		Options	TBRX		Y		Equities							O_8423cd88-62b4-11e9-b160-4ad6f9df0bf5_DDAXK MAY22 CCAP | 26 MAY 22 | C | E | 192.5748000000_TBRX	Options	0.0000000000			DDAXK MAY22 CCAP | 26 MAY 22 | C | E | 192.5748000000			Equities		30200831		Equities	Call	20200831				Call	
	Put		FI_OPTION	1.0000000000	OEXD 202112 P 100		Options	TBRX		Y		Equities	OEXD 202112 P 100						O_f37ef594-1f30-11e9-a2d0-b3645e528b7a_OEXD 202112 P 100 | 17 DEC 21 | P | E | 100.0000000000_TBRX	Options	0.0000000000	DE000P0QK776		OEXD 202112 P 100 | 17 DEC 21 | P | E | 100.0000000000			Equities		30200831		Equities	Put	20200831				Put	
	Put		FI_OPTION	1.0000000000	ENL5 202106 P 4.8		Options	TBRX		Y		Equities	ENL5 202106 P 4.8						O_f5e8f3a2-1f30-11e9-a2d0-b3645e528b7a_ENL5 202106 P 4.8 | 17 JUN 21 | P | A | 4.8000000000_TBRX	Options	0.0000000000	DE000C2EVPM3		ENL5 202106 P 4.8 | 17 JUN 21 | P | A | 4.8000000000			Equities		30200831		Equities	Put	20200831				Put	
	Warrants Call		FI_OPTION	1.0000000000	I05722		Rights	TBRX		Y		Equities	BI SPM0,1SLC5,5E071220						L_S_a37cfca6-d5e9-11e9-ba50-35a1ce420b26_I05722_TBRX	Rights	0.0000000000	IT0005384182		I05722	Warrant		Equities		30200831		Equities	Warrants Call	20200831				Call	
	Call		FI_OPTION	1.0000000000	AXA FEB23 CALL 10.91 OTC - EPSILON		Options	TBRX		N		Equities							O_c106e328-7710-11e9-9400-98972329be46_AXA FEB23 CALL 10.91 OTC - EPSILON | 13 FEB 23 | C | E | 10.9100000000_TBRX	Options	0.0000000000			AXA FEB23 CALL 10.91 OTC - EPSILON | 13 FEB 23 | C | E | 10.9100000000			Equities		30200831		Equities	Call	20200831			26854673	Call	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	ZEBRA TECH		Equities	TBRX		Y		Equities	ZEBRA TECH						L_S_2523c6cc-514c-11e9-b8d0-ec23cf8de3db_ZEBRA TECH_TBRX	Equities	0.0000000000	US9892071054		ZEBRA TECH			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Call		FI_OPTION	1.0000000000	FTMIB DEC26 C100 BOND		Options	TBRX		Y		Equities							O_76c08514-2884-11ea-9d50-164b86ad1823_FTMIB DEC26 C100 BOND | 28 DEC 26 | C | E | 23757.6000000000_TBRX	Options	0.0000000000			FTMIB DEC26 C100 BOND | 28 DEC 26 | C | E | 23757.6000000000			Equities		30200831		Equities	Call	20200831				Call	
	Call		FI_OPTION	1.0000000000	SX5E FEB26 CALL50 OTC - EPSILON2		Options	TBRX		N		Equities							O_b644a4ca-7710-11e9-9400-98972329be46_SX5E FEB26 CALL50 OTC - EPSILON2 | 11 FEB 26 | C | E | 1639.8000000000_TBRX	Options	0.0000000000			SX5E FEB26 CALL50 OTC - EPSILON2 | 11 FEB 26 | C | E | 1639.8000000000			Equities		30200831		Equities	Call	20200831			26947076	Call	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	AIR FRANCE KLM		Equities	TBRX		Y		Equities	AIR FRANCE KLM						L_S_efa0d0b0-1f2a-11e9-a2d0-b3645e528b7a_AIR FRANCE KLM_TBRX	Equities	0.0000000000	FR0000031122		AIR FRANCE KLM			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Warrants Call		FI_OPTION	1.0000000000	I06226		Rights	TBRX		Y		Equities	BI CW CALL UNICREDIT 19 E 071220						L_S_d3e192fe-5211-11ea-8640-38c7f938b954_I06226_TBRX	Rights	0.0000000000	IT0005401713		I06226	Warrant		Equities		30200831		Equities	Warrants Call	20200831				Call	
	Put		FI_OPTION	1.0000000000	BMPS0U1.25		Options	TBRX		Y		Equities	BMPS0U1.25						O_87e6a9d2-ddc9-11e9-9eb0-e7766f5ef7bc_BMPS0U1.25 | 18 SEP 20 | P | A | 1.2500000000_TBRX	Options	0.0000000000	IT0016087402		BMPS0U1.25 | 18 SEP 20 | P | A | 1.2500000000			Equities		30200831		Equities	Put	20200831				Put	
	Combined Instruments		FI_OPTION	1.0000000000	I05389		Miscellaneous	TBRX		Y		Equities	BI EUS50CPP85%CE150525						L_S_c3759d1e-baa1-11e9-a020-091cb4b8f405_I05389_TBRX	Miscellaneous	0.0000000000	XS1981794008		I05389			Equities		30200831		Equities	Combined Instruments	20200831				Composite	
	Call		FI_OPTION	1.0000000000	OPT_SD3E NOV21 CATM - 3605		Options	TBRX		Y		Equities							O_4c5995da-b093-11ea-bdb0-f7127f36688c_OPT_SD3E NOV21 CATM - 3605 | 23 NOV 21 | C | E | 1937.7400000000_TBRX	Options	0.0000000000			OPT_SD3E NOV21 CATM - 3605 | 23 NOV 21 | C | E | 1937.7400000000			Equities		30200831		Equities	Call	20200831				Call	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	Cushman Wakefield PLC		Equities	TBRX		Y		Equities							L_S_455a31fa-7a81-11ea-1eaf-fcfe3245e49d_Cushman Wakefield PLC_TBRX	Equities	0.0000000000	GB00BFZ4N465		Cushman Wakefield PLC			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	Nikola		Equities	TBRX		Y		Equities							L_S_e2ae65f4-e788-11ea-b847-52a32f7b9b85_Nikola_TBRX	Equities	0.0000000000	US6541101050		Nikola			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Call		FI_OPTION	1.0000000000	EPC SD3E SEP24 CATM		Options	TBRX		Y		Equities							O_7b873584-62b4-11e9-b160-4ad6f9df0bf5_EPC SD3E SEP24 CATM | 09 SEP 24 | C | E | 1958.8700000000_TBRX	Options	0.0000000000			EPC SD3E SEP24 CATM | 09 SEP 24 | C | E | 1958.8700000000			Equities		30200831		Equities	Call	20200831				Call	
	Put		FI_OPTION	1.0000000000	EXO0X31		Options	TBRX		Y		Equities	EXO0X31						O_46ab1904-69af-11ea-83d0-3892cbdc6f96_EXO0X31 | 18 DEC 20 | P | A | 31.0000000000_TBRX	Options	0.0000000000	IT0016789239		EXO0X31 | 18 DEC 20 | P | A | 31.0000000000			Equities		30200831		Equities	Put	20200831				Put	
	Call		FI_OPTION	1.0000000000	ATL0L15		Options	TBRX		Y		Equities	ATL0L15						O_985e6ee6-494d-11e9-9970-3027219c6795_ATL0L15 | 18 DEC 20 | C | A | 15.0000000000_TBRX	Options	0.0000000000	IT0015516690		ATL0L15 | 18 DEC 20 | C | A | 15.0000000000			Equities		30200831		Equities	Call	20200831				Call	
	Call		FI_OPTION	1.0000000000	EPC SD3E NOV21 CNP 2Y CAP		Options	TBRX		Y		Equities							O_7dc94bca-62b4-11e9-b160-4ad6f9df0bf5_EPC SD3E NOV21 CNP 2Y CAP | 16 NOV 20 | C | E | 82.7090600000_TBRX	Options	0.0000000000			EPC SD3E NOV21 CNP 2Y CAP | 16 NOV 20 | C | E | 82.7090600000			Equities		30200831		Equities	Call	20200831				Call	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	CYRUSONE INC		Equities	TBRX		Y		Equities	CYRUSONE INC						L_S_25824d00-514c-11e9-b8d0-ec23cf8de3db_CYRUSONE INC_TBRX	Equities	0.0000000000	US23283R1005		CYRUSONE INC			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Warrants Call		FI_OPTION	1.0000000000	I06193		Rights	TBRX		Y		Equities	BI CW CALL UNIPOLSAI 3,2 E 010321						L_S_d3ea3af8-5211-11ea-8640-38c7f938b954_I06193_TBRX	Rights	0.0000000000	IT0005401937		I06193	Warrant		Equities		30200831		Equities	Warrants Call	20200831				Call	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	Koolern		Equities	TBRX		Y		Equities							L_S_70bd2a3c-8637-11ea-afe7-4d618829edb5_Koolern_TBRX	Equities	0.0000000000	KYG5313A1013		Koolern			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	CHGG		Equities	TBRX		Y		Equities							L_S_6ddb6044-d3ac-11e9-c19e-a3fb0839f480_CHGG_TBRX	Equities	0.0000000000	US1630921096		CHGG			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	BRISTOL MYERS SQ		Equities	TBRX		Y		Equities	BRISTOL MYERS S						L_S_5ad1f3ac-1f2e-11e9-a2d0-b3645e528b7a_BRISTOL MYERS SQ_TBRX	Equities	0.0000000000	US1101221083		BRISTOL MYERS SQ			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	FRONTLINE LTD		Equities	TBRX		Y		Equities	FRONTLINE LTD						L_S_7d1f2fc4-5151-11e9-b8d0-ec23cf8de3db_FRONTLINE LTD_TBRX	Equities	0.0000000000	BMG3682E1921		FRONTLINE LTD			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	REGENCY CENTER		Equities	TBRX		Y		Equities	REGENCY CENTERS						L_S_5b05e158-1f2e-11e9-a2d0-b3645e528b7a_REGENCY CENTER_TBRX	Equities	0.0000000000	US7588491032		REGENCY CENTER			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Put		FI_OPTION	1.0000000000	ENI X12 22- INT DEAL - EQ_STRUTT		Options	TBRX		N		Equities							O_c33f4fb8-7710-11e9-9400-98972329be46_ENI X12 22- INT DEAL - EQ_STRUTT | 15 DEC 22 | P | A | 12.0000000000_TBRX	Options	0.0000000000			ENI X12 22- INT DEAL - EQ_STRUTT | 15 DEC 22 | P | A | 12.0000000000			Equities		30200831		Equities	Put	20200831			26273316	Put	
	Call		FI_OPTION	1.0000000000	FRE G59.32 21 - OTC EPSILON		Options	TBRX		N		Equities							O_3a6f01be-bd24-11ea-b0d0-9b6fd5f0ec96_FRE G59.32 21 - OTC EPSILON | 02 JUL 21 | C | E | 59.3200000000_TBRX	Options	0.0000000000			FRE G59.32 21 - OTC EPSILON | 02 JUL 21 | C | E | 59.3200000000			Equities		30200831		Equities	Call	20200831			30937070	Call	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	Boise Cascade Co		Equities	TBRX		Y		Equities							L_S_2495538c-a701-11e9-ac40-a83e753839f1_Boise Cascade Co_TBRX	Equities	0.0000000000	US09739D1000		Boise Cascade Co			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Call		FI_OPTION	1.0000000000	SD3E MAR26 C100 BOND		Options	TBRX		Y		Equities							O_116a9bf4-e03c-11e9-a220-4100c975c478_SD3E MAR26 C100 BOND | 26 MAR 26 | C | E | 1957.2200000000_TBRX	Options	0.0000000000			SD3E MAR26 C100 BOND | 26 MAR 26 | C | E | 1957.2200000000			Equities		30200831		Equities	Call	20200831				Call	
	Call		FI_OPTION	1.0000000000	OEXD 202112 C 120		Options	TBRX		Y		Equities	OEXD 202112 C 120						O_f37f0750-1f30-11e9-a2d0-b3645e528b7a_OEXD 202112 C 120 | 17 DEC 21 | C | E | 120.0000000000_TBRX	Options	0.0000000000	DE000C0WDTY4		OEXD 202112 C 120 | 17 DEC 21 | C | E | 120.0000000000			Equities		30200831		Equities	Call	20200831				Call	
	Call		FI_OPTION	1.0000000000	ENEL0L6.40		Options	TBRX		Y		Equities	ENEL0L6.40						O_4e216316-1f30-11e9-a2d0-b3645e528b7a_ENEL0L6.40 | 18 DEC 20 | C | A | 6.4000000000_TBRX	Options	0.0000000000	IT0014338476		ENEL0L6.40 | 18 DEC 20 | C | A | 6.4000000000			Equities		30200831		Equities	Call	20200831				Call	
	Put		FI_OPTION	1.0000000000	ENI2X8.40		Options	TBRX		Y		Equities	ENI2X8.40						O_983add32-494d-11e9-9970-3027219c6795_ENI2X8.40 | 16 DEC 22 | P | A | 8.4000000000_TBRX	Options	0.0000000000	IT0015464461		ENI2X8.40 | 16 DEC 22 | P | A | 8.4000000000			Equities		30200831		Equities	Put	20200831				Put	
	ETF		FI_EQUITY	1.0000000000	SPDR TECH SELECT		Collective investment vehicles	TBRX		Y		Equities	TECHNOLOGY SELE						L_S_5a9d6bb4-1f2e-11e9-a2d0-b3645e528b7a_SPDR TECH SELECT_TBRX	Collective investment vehicles	0.0000000000	US81369Y8030		SPDR TECH SELECT			Equities		30200831		Equities	ETF	20200831				Spot	
	Warrants Call		FI_OPTION	1.0000000000	I05716		Rights	TBRX		Y		Equities	BI TIT0,1SLC0,6E070920						L_S_a395080a-d5e9-11e9-ba50-35a1ce420b26_I05716_TBRX	Rights	0.0000000000	IT0005384240		I05716	Warrant		Equities		30200831		Equities	Warrants Call	20200831				Call	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	REALTY INCM CORP		Equities	TBRX		Y		Equities	REALTY INCOME R						L_S_5a97bba6-1f2e-11e9-a2d0-b3645e528b7a_REALTY INCM CORP_TBRX	Equities	0.0000000000	US7561091049		REALTY INCM CORP			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Put		FI_OPTION	1.0000000000	OEXD 202112 P 110		Options	TBRX		Y		Equities	OEXD 202112 P 110						O_f37f01b0-1f30-11e9-a2d0-b3645e528b7a_OEXD 202112 P 110 | 17 DEC 21 | P | E | 110.0000000000_TBRX	Options	0.0000000000	DE000P4TBUH4		OEXD 202112 P 110 | 17 DEC 21 | P | E | 110.0000000000			Equities		30200831		Equities	Put	20200831				Put	
	Call		FI_OPTION	1.0000000000	OESX 202012 C 3700		Options	TBRX		Y		Equities	OESX 202012 C 3700						O_f380fcea-1f30-11e9-a2d0-b3645e528b7a_OESX 202012 C 3700 | 18 DEC 20 | C | E | 3700.0000000000_TBRX	Options	0.0000000000	DE000C0YCEY4		OESX 202012 C 3700 | 18 DEC 20 | C | E | 3700.0000000000			Equities		30200831		Equities	Call	20200831				Call	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	Hub Group		Equities	TBRX		Y		Equities							L_S_dba11f7d-e6a6-11e9-48b8-3439aa512a8c_Hub Group_TBRX	Equities	0.0000000000	US4433201062		Hub Group			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	APPLE EUR		Equities	TBRX		Y		Equities	APPLE						L_S_ef9ef66e-1f2a-11e9-a2d0-b3645e528b7a_APPLE EUR_TBRX	Equities	0.0000000000	US0378331005		APPLE EUR			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Call		FI_OPTION	1.0000000000	OPT_SX5E OCT23 C ATM - 4702		Options	TBRX		Y		Equities							O_bc03aa04-9e9d-11ea-a0a0-6b77645bee53_OPT_SX5E OCT23 C ATM - 4702 | 08 SEP 23 | C | E | 3326.6000000000_TBRX	Options	0.0000000000			OPT_SX5E OCT23 C ATM - 4702 | 08 SEP 23 | C | E | 3326.6000000000			Equities		30200831		Equities	Call	20200831				Call	
	Call		FI_OPTION	1.0000000000	TIT0K0.42		Options	TBRX		Y		Equities	TIT0K0.42						O_53725ca8-e5cc-11ea-bc90-d15aa210e889_TIT0K0.42 | 20 NOV 20 | C | A | .4200000000_TBRX	Options	0.0000000000	IT0017336071		TIT0K0.42 | 20 NOV 20 | C | A | .4200000000			Equities		30200831		Equities	Call	20200831				Call	
	Call		FI_OPTION	1.0000000000	OPT_CERT SD3E APR26 BDT C66.66 4Y - 4954		Options	TBRX		Y		Equities							O_bc619646-9e9d-11ea-a0a0-6b77645bee53_OPT_CERT SD3E APR26 BDT C66.66 4Y - 4954 | 25 APR 23 | C | E | 1363.5535000000_TBRX	Options	0.0000000000			OPT_CERT SD3E APR26 BDT C66.66 4Y - 4954 | 25 APR 23 | C | E | 1363.5535000000			Equities		30200831		Equities	Call	20200831				Call	
	Put		FI_OPTION	1.0000000000	ENI0X7.60		Options	TBRX		Y		Equities	ENI0X7.60						O_4c56765c-1f30-11e9-a2d0-b3645e528b7a_ENI0X7.60 | 18 DEC 20 | P | A | 7.6000000000_TBRX	Options	0.0000000000	IT0014339383		ENI0X7.60 | 18 DEC 20 | P | A | 7.6000000000			Equities		30200831		Equities	Put	20200831				Put	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	EPR PROPERTIES		Equities	TBRX		Y		Equities	EPR PROPERTIES						L_S_2505e58a-514c-11e9-b8d0-ec23cf8de3db_EPR PROPERTIES_TBRX	Equities	0.0000000000	US26884U1097		EPR PROPERTIES			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	ADOBE USD		Equities	TBRX		Y		Equities	ADOBE INC						L_S_5b039308-1f2e-11e9-a2d0-b3645e528b7a_ADOBE USD_TBRX	Equities	0.0000000000	US00724F1012		ADOBE USD			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	RANDSTAD NV		Equities	TBRX		Y		Equities	RANDSTAD NV						L_S_6e48a186-1f2b-11e9-a2d0-b3645e528b7a_RANDSTAD NV_TBRX	Equities	0.0000000000	NL0000379121		RANDSTAD NV			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Warrants Call		FI_OPTION	1.0000000000	I06437		Rights	TBRX		Y		Equities	BI CW CALL ENI 9,5 E 071220						L_S_b3e087b2-90e6-11ea-b430-b3e2b66d25c3_I06437_TBRX	Rights	0.0000000000	IT0005409906		I06437	Warrant		Equities		30200831		Equities	Warrants Call	20200831				Call	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	CLR		Equities	TBRX		Y		Equities							L_S_76581baa-20d5-11ea-dd87-419378699d92_CLR_TBRX	Equities	0.0000000000	US2120151012		CLR			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Call		FI_OPTION	1.0000000000	OPT_SD3E JUN19 BDT C66.66 5Y - 5060		Options	TBRX		Y		Equities							O_bc785f52-9e9d-11ea-a0a0-6b77645bee53_OPT_SD3E JUN19 BDT C66.66 5Y - 5060 | 24 JUN 24 | C | E | 1277.9600000000_TBRX	Options	0.0000000000			OPT_SD3E JUN19 BDT C66.66 5Y - 5060 | 24 JUN 24 | C | E | 1277.9600000000			Equities		30200831		Equities	Call	20200831				Call	
	Warrants Call		FI_OPTION	1.0000000000	I06519		Rights	TBRX		Y		Equities	BI CW CALL UNICREDIT 8,8 E 071220						L_S_b3c296d0-90e6-11ea-b430-b3e2b66d25c3_I06519_TBRX	Rights	0.0000000000	IT0005408890		I06519	Warrant		Equities		30200831		Equities	Warrants Call	20200831				Call	
	Put		FI_OPTION	1.0000000000	MIBO1R13000		Options	TBRX		Y		Equities	MIBO1R13000						O_4cfdb39a-1f30-11e9-a2d0-b3645e528b7a_MIBO1R13000 | 18 JUN 21 | P | E | 13000.0000000000_TBRX	Options	0.0000000000	IT0014747957		MIBO1R13000 | 18 JUN 21 | P | E | 13000.0000000000			Equities		30200831		Equities	Put	20200831				Put	
	Call		FI_OPTION	1.0000000000	SPX Sep0 3300.0C		Options	TBRX		Y		Equities	SPX Sep0 3300.0C						O_731e060e-90c5-11e9-8de0-b0e7b3c240fb_SPX Sep0 3300.0C | 18 SEP 20 | C | E | 3300.0000000000_TBRX	Options	0.0000000000			SPX Sep0 3300.0C | 18 SEP 20 | C | E | 3300.0000000000			Equities		30200831		Equities	Call	20200831				Call	
	Call		FI_OPTION	1.0000000000	SX5E APR22 C0 BOND		Options	TBRX		Y		Equities							O_8154b8f7-62b4-11e9-b160-4ad6f9df0bf5_SX5E APR22 C0 BOND | 28 APR 22 | C | E | .0001000000_TBRX	Options	0.0000000000			SX5E APR22 C0 BOND | 28 APR 22 | C | E | .0001000000			Equities		30200831		Equities	Call	20200831				Call	
	Put		FI_OPTION	1.0000000000	OESX 202112 P 3000		Options	TBRX		Y		Equities	OESX 202112 P 3000						O_f3837664-1f30-11e9-a2d0-b3645e528b7a_OESX 202112 P 3000 | 17 DEC 21 | P | E | 3000.0000000000_TBRX	Options	0.0000000000	DE000P0YB1F9		OESX 202112 P 3000 | 17 DEC 21 | P | E | 3000.0000000000			Equities		30200831		Equities	Put	20200831				Put	
	Call		FI_OPTION	1.0000000000	SGE 202012 C 31		Options	TBRX		Y		Equities	SGE 202012 C 31						O_e0ea8452-39b6-11e9-aa00-490041a9bcec_SGE 202012 C 31 | 18 DEC 20 | C | A | 31.0000000000_TBRX	Options	0.0000000000	DE000C2XZN05		SGE 202012 C 31 | 18 DEC 20 | C | A | 31.0000000000			Equities		30200831		Equities	Call	20200831				Call	
	Put		FI_OPTION	1.0000000000	G1R12		Options	TBRX		Y		Equities	G1R12						O_4e0bc128-1f30-11e9-a2d0-b3645e528b7a_G1R12 | 18 JUN 21 | P | A | 12.0000000000_TBRX	Options	0.0000000000	IT0014745175		G1R12 | 18 JUN 21 | P | A | 12.0000000000			Equities		30200831		Equities	Put	20200831				Put	
	Call		FI_OPTION	1.0000000000	EXO0J58		Options	TBRX		Y		Equities	EXO0J58						O_4668420a-ca4e-11ea-bfb0-7047c6039bd4_EXO0J58 | 16 OCT 20 | C | A | 58.0000000000_TBRX	Options	0.0000000000	IT0017255966		EXO0J58 | 16 OCT 20 | C | A | 58.0000000000			Equities		30200831		Equities	Call	20200831				Call	
	Call		FI_OPTION	1.0000000000	0_EUR_BANK C 36.228 23 - 5609		Options	TBRX		Y		Equities							O_23d9b350-73f4-11ea-8b40-9f5ca9b415b9_0_EUR_BANK C 36.228 23 - 5609 | 27 MAR 23 | C | E | 36.2284780000_TBRX	Options	0.0000000000			0_EUR_BANK C 36.228 23 - 5609 | 27 MAR 23 | C | E | 36.2284780000			Equities		30200831		Equities	Call	20200831				Call	
	Call		FI_OPTION	1.0000000000	SD3E NOV21 CATM		Options	TBRX		Y		Equities							O_7d936014-62b4-11e9-b160-4ad6f9df0bf5_SD3E NOV21 CATM | 09 NOV 21 | C | E | 1921.1400000000_TBRX	Options	0.0000000000			SD3E NOV21 CATM | 09 NOV 21 | C | E | 1921.1400000000			Equities		30200831		Equities	Call	20200831				Call	
	Call		FI_OPTION	1.0000000000	0_EUR_BANK C 36.228 24 - 5609		Options	TBRX		Y		Equities							O_23e98460-73f4-11ea-8b40-9f5ca9b415b9_0_EUR_BANK C 36.228 24 - 5609 | 22 MAR 24 | C | E | 36.2284780000_TBRX	Options	0.0000000000			0_EUR_BANK C 36.228 24 - 5609 | 22 MAR 24 | C | E | 36.2284780000			Equities		30200831		Equities	Call	20200831				Call	
	Combined Instruments		FI_OPTION	1.0000000000	EP SD3E OCT23 VUB		Miscellaneous	TBRX		Y		Equities	IMI-EP ESXX SELECT DIV 30 27OT23						L_S_344387be-1f2e-11e9-a2d0-b3645e528b7a_EP SD3E OCT23 VUB_TBRX	Miscellaneous	0.0000000000	XS1886393484		EP SD3E OCT23 VUB			Equities		30200831		Equities	Combined Instruments	20200831				Composite	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	CARDLYTICS INC		Equities	TBRX		Y		Equities	CARDLYTICS ORD						L_S_5a791264-1f2e-11e9-a2d0-b3645e528b7a_CARDLYTICS INC_TBRX	Equities	0.0000000000	US14161W1053		CARDLYTICS INC			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	TRANSOCEAN LTD		Equities	TBRX		Y		Equities	TRANSOCEAN LTD						L_S_af736520-6a93-11e9-9ed0-47e1b3925d6c_TRANSOCEAN LTD_TBRX	Equities	0.0000000000	000000000000		TRANSOCEAN LTD			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	EQUIFAX ORD		Equities	TBRX		Y		Equities	EQUIFAX ORD						L_S_5af31e2e-1f2e-11e9-a2d0-b3645e528b7a_EQUIFAX ORD_TBRX	Equities	0.0000000000	US2944291051		EQUIFAX ORD			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Put		FI_OPTION	1.0000000000	MIBO0U19500		Options	TBRX		Y		Equities	MIBO0U19500						O_889c3c3e-ddc9-11e9-9eb0-e7766f5ef7bc_MIBO0U19500 | 18 SEP 20 | P | E | 19500.0000000000_TBRX	Options	0.0000000000	IT0016089242		MIBO0U19500 | 18 SEP 20 | P | E | 19500.0000000000			Equities		30200831		Equities	Put	20200831				Put	
	Call		FI_OPTION	1.0000000000	ENEL1L8.40		Options	TBRX		Y		Equities	ENEL1L8.40						O_4c7d63ca-1f30-11e9-a2d0-b3645e528b7a_ENEL1L8.40 | 17 DEC 21 | C | A | 8.4000000000_TBRX	Options	0.0000000000	IT0015167940		ENEL1L8.40 | 17 DEC 21 | C | A | 8.4000000000			Equities		30200831		Equities	Call	20200831				Call	
	Call		FI_OPTION	1.0000000000	OPT_FTMIB DEC26 CATM - 5398		Options	TBRX		Y		Equities							O_bc929b88-9e9d-11ea-a0a0-6b77645bee53_OPT_FTMIB DEC26 CATM - 5398 | 28 DEC 26 | C | E | 23757.6000000000_TBRX	Options	0.0000000000			OPT_FTMIB DEC26 CATM - 5398 | 28 DEC 26 | C | E | 23757.6000000000			Equities		30200831		Equities	Call	20200831				Call	
	Put		FI_OPTION	1.0000000000	OESX 202009 P 2500		Options	TBRX		Y		Equities	OESX 202009 P 2500						O_4dae6228-df54-11e9-9dd0-a51627ac0b03_OESX 202009 P 2500 | 18 SEP 20 | P | E | 2500.0000000000_TBRX	Options	0.0000000000	DE000C4GL798		OESX 202009 P 2500 | 18 SEP 20 | P | E | 2500.0000000000			Equities		30200831		Equities	Put	20200831				Put	
	Call		FI_OPTION	1.0000000000	OEXD 202112 C 130		Options	TBRX		Y		Equities	OEXD 202112 C 130						O_f957cea0-1f30-11e9-a2d0-b3645e528b7a_OEXD 202112 C 130 | 17 DEC 21 | C | E | 130.0000000000_TBRX	Options	0.0000000000	DE000C8DH257		OEXD 202112 C 130 | 17 DEC 21 | C | E | 130.0000000000			Equities		30200831		Equities	Call	20200831				Call	
	Call		FI_OPTION	1.0000000000	SX5E MAY24 C100 BOND		Options	TBRX		Y		Equities							O_bbf02a66-7710-11e9-9400-98972329be46_SX5E MAY24 C100 BOND | 08 MAY 24 | C | E | 3361.0500000000_TBRX	Options	0.0000000000			SX5E MAY24 C100 BOND | 08 MAY 24 | C | E | 3361.0500000000			Equities		30200831		Equities	Call	20200831				Call	
