Bof_20200828
DEALID_FE	DESCRIPTION	F_ISLISTED	INSTRUMENT_FE	INSTRUMENTID_FE	TBRICKS_INSTRUMENT_ID	ISIN	ISSUERID	MFAMILY	MGROUP	MTYPE	PHASE	PORTFOLIOID	REF_DATE	SEC_CATEGORY	SEC_GROUP	SEC_TYPE	TYPOLOGY	PRICE_MULTIPLIER	CFI_CODE	USE_VOLATILITY_SURFACE	CUSTOM_UNIQUE_ID	BASE_PRICE_MULTIPLIER	SUMMATION_GROUP	CFI_VARIANT_NAME	INSTRUMENTNUM_FE
-1	CHECK POINT SOF	Y	CHECK PT SFTWRE	CHECK PT SFTWRE	5a6ee1e0-1f2e-11e9-a2d0-b3645e528b7a	000000000000	0B7700	Equities	Equities	Common/Ordinary shares	0		2020-08-28	Common/Ordinary shares	Equities	Equities		1	ESXXXX	N		1	CHKP	Equity share	
-1	FIRSTENERGY ORD	Y	FIRSTENERGY	FIRSTENERGY	5ad2e17c-1f2e-11e9-a2d0-b3645e528b7a	US3379321074	0C6607	Equities	Equities	Common/Ordinary shares	0		2020-08-28	Common/Ordinary shares	Equities	Equities		1	ESXXXX	N		1	FE	Equity share	
-1		N	SX5E FEB21 CALL50 OTC - EPSILON2	SX5E FEB21 CALL50 OTC - EPSILON2 | 11 FEB 21 | C | E | 1639.8000000000	b64233b6-7710-11e9-9400-98972329be46			Equities	Options	Call	0		2020-08-28	Call	Equities	Options		1	OCEXCX	Y	EU0009658145	1	SX5E	Call	26947049
-1		Y	SX5E MAY25 CCAP	SX5E MAY25 CCAP | 13 MAY 25 | C | E | 4401.5140000000	bf083a7c-7710-11e9-9400-98972329be46			Equities	Options	Call	0		2020-08-28	Call	Equities	Options		1	OCEXCX	Y		1	SX5E	Call	
-1	INTESA SANPAOLO	Y	ISP	ISP	efa050ea-1f2a-11e9-a2d0-b3645e528b7a	IT0000072618	INTESA SANPAOLO	Equities	Equities	Common/Ordinary shares	0		2020-08-28	Common/Ordinary shares	Equities	Equities		1	ESXXXX	N		1	ISP	Equity share	
-1		Y	OPT_EPC SD3E SEP24 CATM - 4694	OPT_EPC SD3E SEP24 CATM - 4694 | 09 SEP 24 | C | E | 1958.8700000000	bbfd0320-9e9d-11ea-a0a0-6b77645bee53			Equities	Options	Call	0		2020-08-28	Call	Equities	Options		1	OCEXCX	Y		1	SD3E	Call	
-1		N	20508939	20508939 | 17 DEC 21 | C | A | 4.6000000000	c4de440a-7710-11e9-9400-98972329be46			Equities	Options	Call	0		2020-08-28	Call	Equities	Options		1	OCAXPX	Y	IT0003128367	1	ENEL	Call	20508939
-1		N	SX5E FEB25 CALL50 OTC - EPSILON2	SX5E FEB25 CALL50 OTC - EPSILON2 | 11 FEB 25 | C | E | 1639.8000000000	b6443df0-7710-11e9-9400-98972329be46			Equities	Options	Call	0		2020-08-28	Call	Equities	Options		1	OCEXCX	Y	EU0009658145	1	SX5E	Call	26947071
-1		Y	OPT_SD3E OCT24 CCAP - 4294	OPT_SD3E OCT24 CCAP - 4294 | 29 OCT 24 | C | E | 3962.3038000000	bbd30bce-9e9d-11ea-a0a0-6b77645bee53			Equities	Options	Call	0		2020-08-28	Call	Equities	Options		1	OCEXCX	Y		1	SD3E	Call	
-1	BI SDCPE300426	Y	CERT SD3E APR26 BDT	CERT SD3E APR26 BDT	196a3d22-6fc2-11e9-a250-f628c381b22f	XS1967674521		Equities	Miscellaneous	Combined Instruments	0		2020-08-28	Combined Instruments	Equities	Miscellaneous		1	MCMXXX	Y		1	SD3E	Composite	
-1	HEICO ORD	Y	HEICO CORP	HEICO CORP	5abe10d0-1f2e-11e9-a2d0-b3645e528b7a	US4228061093	0C7436	Equities	Equities	Common/Ordinary shares	0		2020-08-28	Common/Ordinary shares	Equities	Equities		1	ESXXXX	N		1	HEI	Equity share	
-1	ELNCO ANML HLTH	Y	Elanco Animal Health Inc	Elanco Animal Health Inc	25859d70-514c-11e9-b8d0-ec23cf8de3db	US28414H1032		Equities	Equities	Common/Ordinary shares	0		2020-08-28	Common/Ordinary shares	Equities	Equities		1	ESXXXX	N		1	ELAN	Equity share	
-1	INDEL B	Y	INDB	INDB	ef9ca7f6-1f2a-11e9-a2d0-b3645e528b7a	IT0005245508	INDEL B	Equities	Equities	Common/Ordinary shares	0		2020-08-28	Common/Ordinary shares	Equities	Equities		1	ESXXXX	N		1	INDELB	Equity share	
-1	ENEL0L8	Y	ENEL0L8	ENEL0L8 | 18 DEC 20 | C | A | 8.0000000000	4be80578-1f30-11e9-a2d0-b3645e528b7a	IT0014338559		Equities	Options	Call	0		2020-08-28	Call	Equities	Options		500	OCASPS	Y		1	ENEL	Call	
-1	OESX 202112 C 3200	Y	OESX 202112 C 3200	OESX 202112 C 3200 | 17 DEC 21 | C | E | 3200.0000000000	f448b9d8-1f30-11e9-a2d0-b3645e528b7a	DE000C904BG6		Equities	Options	Call	0		2020-08-28	Call	Equities	Options		10	OCEICS	Y		1	SX5E	Call	
-1	BMPS0I1.50	Y	BMPS0I1.50	BMPS0I1.50 | 18 SEP 20 | C | A | 1.5000000000	87d52284-ddc9-11e9-9eb0-e7766f5ef7bc	IT0016087295		Equities	Options	Call	0		2020-08-28	Call	Equities	Options		100	OCASPS	Y		1	BMPS	Call	
-1	OESX 202009 P 3050	Y	OESX 202009 P 3050	OESX 202009 P 3050 | 18 SEP 20 | P | E | 3050.0000000000	b87b1ca2-ddc1-11e9-9eb0-e7766f5ef7bc	DE000C4FPPY3		Equities	Options	Put	0		2020-08-28	Put	Equities	Options		10	OPEICS	Y		1	SX5E	Put	
-1	RALPH LAUREN CL	Y	RALPH LAUREN COR	RALPH LAUREN COR	5b001b2e-1f2e-11e9-a2d0-b3645e528b7a	US7512121010	0B9374	Equities	Equities	Common/Ordinary shares	0		2020-08-28	Common/Ordinary shares	Equities	Equities		1	ESXXXX	N		1	RL	Equity share	
-1	NATURGY ENERGY	Y	NATURGY ENERGY	NATURGY ENERGY	343e75d0-1f2e-11e9-a2d0-b3645e528b7a	ES0116870314	GAGAC	Equities	Equities	Common/Ordinary shares	0		2020-08-28	Common/Ordinary shares	Equities	Equities		1	ESVUFB	N		1	GAN	Equity share	
-1		Y	SX5E OCT22 C0 BOND	SX5E OCT22 C0 BOND | 14 OCT 22 | C | E | .0001000000	77108604-62b4-11e9-b160-4ad6f9df0bf5			Equities	Options	Call	0		2020-08-28	Call	Equities	Options		1	OCEXCX	Y		1	SX5E	Call	
-1		N	OTC SD3E p1900 DEC25 - JPM2	OTC SD3E p1900 DEC25 - JPM2 | 19 DEC 25 | P | E | 1900.0000000000	bf4cc458-7710-11e9-9400-98972329be46			Equities	Options	Put	0		2020-08-28	Put	Equities	Options		1	OPEXCX	Y	SD3E	1	SD3E	Put	26384534
-1	LUVE	Y	LUVE	LUVE	ef9ea894-1f2a-11e9-a2d0-b3645e528b7a	IT0005107492	LUVE	Equities	Equities	Common/Ordinary shares	0		2020-08-28	Common/Ordinary shares	Equities	Equities		1	ESXXXX	N		1	LUVE	Equity share	
-1	OESX 202612 C 2900	Y	OESX 202612 C 2900	OESX 202612 C 2900 | 18 DEC 26 | C | E | 2900.0000000000	f9f8a3e8-1f30-11e9-a2d0-b3645e528b7a	DE000C0MFXA2		Equities	Options	Call	0		2020-08-28	Call	Equities	Options		10	OCEICS	Y		1	SX5E	Call	
-1	MB0X8	Y	MB0X8	MB0X8 | 18 DEC 20 | P | A | 8.0000000000	9885bf0a-494d-11e9-9970-3027219c6795	IT0015437921		Equities	Options	Put	0		2020-08-28	Put	Equities	Options		500	OPASPS	Y		1	MB	Put	
-1		Y	EPC ENI AUG22 CNP 3Y FLOOR	EPC ENI AUG22 CNP 3Y FLOOR | 13 AUG 21 | C | E | .1000000000	734a98de-62b4-11e9-b160-4ad6f9df0bf5			Equities	Options	Call	0		2020-08-28	Call	Equities	Options		1	OCEXCX	Y		1	ENI	Call	
-1	BI CW CALL DEUTSCHE BANK 8 E 070920	Y	I05916	I05916	40719a12-1659-11ea-b3f0-689a4e2fd020	IT0005392789	BANCA IMI	Equities	Rights	Warrants Call	0		2020-08-28	Warrants Call	Equities	Rights		1	RWXCCE	Y		1	DBK	Call warrant	
-1	MIBO0U21000	Y	MIBO0U21000	MIBO0U21000 | 18 SEP 20 | P | E | 21000.0000000000	88b73c46-ddc9-11e9-9eb0-e7766f5ef7bc	IT0016089184		Equities	Options	Put	0		2020-08-28	Put	Equities	Options		2.5	OPEICS	Y		1	FTMIB	Put	
-1	DUFRY N ORD	Y	DUFRY AG	DUFRY AG	5aa40d2a-1f2e-11e9-a2d0-b3645e528b7a	CH0023405456	0A7493	Equities	Equities	Common/Ordinary shares	0		2020-08-28	Common/Ordinary shares	Equities	Equities		1	ESXXXX	N		1	DUF	Equity share	
-1	BI CW CALL MEDIOBANCA 10 E 070920	Y	I06108	I06108	d385f0c0-5211-11ea-8640-38c7f938b954	IT0005401077	BANCA IMI	Equities	Rights	Warrants Call	0		2020-08-28	Warrants Call	Equities	Rights		1	RWXCCE	Y		1	MB	Call warrant	
-1	BI CW CALL SAIPEM 3,1 E 071220	Y	I06493	I06493	b3bb079e-90e6-11ea-b430-b3e2b66d25c3	IT0005410466	BANCA IMI	Equities	Rights	Warrants Call	0		2020-08-28	Warrants Call	Equities	Rights		1	RWXCCE	Y		1	SPM	Call warrant	
-1	TAPESTRY ORD	Y	TAPESTRY INC	TAPESTRY INC	5a6677e4-1f2e-11e9-a2d0-b3645e528b7a	US8760301072	0E6967	Equities	Equities	Common/Ordinary shares	0		2020-08-28	Common/Ordinary shares	Equities	Equities		1	ESXXXX	N		1	COH	Equity share	
-1		Y	SX5E DEC21 CATM	SX5E DEC21 CATM | 21 FEB 22 | C | E | 2929.1600000000	7b76eb8e-62b4-11e9-b160-4ad6f9df0bf5			Equities	Options	Call	0		2020-08-28	Call	Equities	Options		1	OCEXCX	Y		1	SX5E	Call	
-1		N	TITL L0.475 - OTC CARIMONTE	TITL L0.475 - OTC CARIMONTE | 18 DEC 20 | C | E | .4750000000	76d29a66-e90d-11ea-a590-49499a438f10			Equities	Options	Call	0		2020-08-28	Call	Equities	Options		1	OCEXPX	Y	IT0003497168	1	TIT	Call	31364249
-1	MOSAIC ORD	Y	MOSAIC COMPANY	MOSAIC COMPANY	5a5e7d3c-1f2e-11e9-a2d0-b3645e528b7a	US61945C1036	0B8325	Equities	Equities	Common/Ordinary shares	0		2020-08-28	Common/Ordinary shares	Equities	Equities		1	ESXXXX	N		1	MOS	Equity share	
-1	YUM BRANDS ORD	Y	YUM! BRANDS INC	YUM! BRANDS INC	5a7a7e38-1f2e-11e9-a2d0-b3645e528b7a	US9884981013	0A7985	Equities	Equities	Common/Ordinary shares	0		2020-08-28	Common/Ordinary shares	Equities	Equities		1	ESXXXX	N		1	YUM	Equity share	
-1	THE WALT DISNEY	Y	WALT DISNEY EUR	WALT DISNEY EUR	e359da9e-1f2b-11e9-a2d0-b3645e528b7a	US2546871060	The Walt Disney Co.	Equities	Equities	Common/Ordinary shares	0		2020-08-28	Common/Ordinary shares	Equities	Equities		1	ESXXXX	N		1	WDP	Equity share	
-1	OESX 202012 C 3200	Y	OESX 202012 C 3200	OESX 202012 C 3200 | 18 DEC 20 | C | E | 3200.0000000000	f380ca7c-1f30-11e9-a2d0-b3645e528b7a	DE000C0YXDK1		Equities	Options	Call	0		2020-08-28	Call	Equities	Options		10	OCEICS	Y		1	SX5E	Call	
-1	FARMAE	Y	FAR	FAR	0382786e-b1c4-11e9-ab80-a9e20806263c	IT0005378333	FARMAE	Equities	Equities	Common/Ordinary shares	0		2020-08-28	Common/Ordinary shares	Equities	Equities		1	ESXXXX	N		1	FAR	Equity share	
