Bof_20200828
CLEARING_CENTER_NAME	CURRENCY	DESCRIPTION	F_QDIRTY	INSTRUMENTID_FE	ISIN	ISS_DATE	ISS_NUM	ISSUERID	LOTSIZE	MKT_SETTL_TYPE	REF_DATE	SEC_CATEGORY	SEC_GROUP	SEC_TYPE	UNDERLYINGID_FE	DIVIDENDID_FE	TBRICKS_INSTRUMENT_ID	TBRICKS_UNDERLYING_ID	TBRICKS_DIVIDEND_ID	F_IS_ETF
	USD	CARRIZO OIL AND	0	Carrizo Oil	US1445771033	2018-01-24	0	0B7901	1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	Carrizo Oil	Carrizo Oil	5ae7c5a6-1f2e-11e9-a2d0-b3645e528b7a	5ae7c5a6-1f2e-11e9-a2d0-b3645e528b7a	5ae7c5a6-1f2e-11e9-a2d0-b3645e528b7a	N
	USD	NETFLIX INC	0	NETFLIX USD	US64110L1061	2018-01-08	0	0A8028	1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	NETFLIX USD	NETFLIX USD	5a8fc5ae-1f2e-11e9-a2d0-b3645e528b7a	5a8fc5ae-1f2e-11e9-a2d0-b3645e528b7a	5a8fc5ae-1f2e-11e9-a2d0-b3645e528b7a	N
	USD	ON SEMICONDUCTO	0	ON SEMICONDUCTO	US6821891057	2018-01-24	0	0C2907	1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	ON SEMICONDUCTO	ON SEMICONDUCTO	5ae3c762-1f2e-11e9-a2d0-b3645e528b7a	5ae3c762-1f2e-11e9-a2d0-b3645e528b7a	5ae3c762-1f2e-11e9-a2d0-b3645e528b7a	N
	HKD	Sinopharm/d	0	Sinopharm/d	CNE100000FN7		0		1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	Sinopharm/d	Sinopharm/d	0d8f99c4-cb48-11ea-a1e7-4fe2d8c11db7	0d8f99c4-cb48-11ea-a1e7-4fe2d8c11db7	0d8f99c4-cb48-11ea-a1e7-4fe2d8c11db7	N
	USD	SPDR FUND CONSU	0	SPDR CONS DISCR	US81369Y4070	2018-01-24	0	0C2288	1	Cash	2020-08-28	Units	Equities	Equities	SPDR CONS DISCR	SPDR CONS DISCR	5af7f796-1f2e-11e9-a2d0-b3645e528b7a	5af7f796-1f2e-11e9-a2d0-b3645e528b7a	5af7f796-1f2e-11e9-a2d0-b3645e528b7a	Y
	EUR	KERRY GRP.'A'	0	KERRY GROUP	IE0004906560	2005-07-08	0	KEOM	1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	KERRY GROUP	KERRY GROUP	5adfff7e-1f2e-11e9-a2d0-b3645e528b7a	5adfff7e-1f2e-11e9-a2d0-b3645e528b7a	5adfff7e-1f2e-11e9-a2d0-b3645e528b7a	N
	USD	KKR AND CO CL A	0	KKR AND CO CL A	US48251W1045	2018-10-11	0	0G9513	1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	KKR AND CO CL A	KKR AND CO CL A	5a7f2cf8-1f2e-11e9-a2d0-b3645e528b7a	5a7f2cf8-1f2e-11e9-a2d0-b3645e528b7a	5a7f2cf8-1f2e-11e9-a2d0-b3645e528b7a	N
	EUR	SCHNEIDER ELECTRIC	0	SCHNEIDER	FR0000121972	2009-06-29	0	SCHNEIDER ELECTRIC	1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	SCHNEIDER	SCHNEIDER	efa19ac2-1f2a-11e9-a2d0-b3645e528b7a	efa19ac2-1f2a-11e9-a2d0-b3645e528b7a	efa19ac2-1f2a-11e9-a2d0-b3645e528b7a	N
	EUR	BANCA MEDIOLANUM	0	BMED	IT0004776628	2015-12-30	0	BANCA MEDIOLANUM	1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	BMED	BMED	ef9fe1dc-1f2a-11e9-a2d0-b3645e528b7a	ef9fe1dc-1f2a-11e9-a2d0-b3645e528b7a	ef9fe1dc-1f2a-11e9-a2d0-b3645e528b7a	N
	EUR	L'OREAL	0	L'OREAL	FR0000120321	2016-09-30	0	L'OREAL	1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	L'OREAL	L'OREAL	ef9beed8-1f2a-11e9-a2d0-b3645e528b7a	ef9beed8-1f2a-11e9-a2d0-b3645e528b7a	ef9beed8-1f2a-11e9-a2d0-b3645e528b7a	N
	HKD	HANG SENG INDEX	0	HANG SENG INDEX			0		1	Cash	2020-08-28	Indices	Equities	Referential Instruments	HANG SENG INDEX	HANG SENG INDEX	7d119b70-5151-11e9-b8d0-ec23cf8de3db	7d119b70-5151-11e9-b8d0-ec23cf8de3db	7d119b70-5151-11e9-b8d0-ec23cf8de3db	N
	USD	MADRIGAL PHARMA	0	MADRIGAL PHARMA	US5588681057	2018-01-24	0	0C2630	1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	MADRIGAL PHARMA	MADRIGAL PHARMA	5ac579e2-1f2e-11e9-a2d0-b3645e528b7a	5ac579e2-1f2e-11e9-a2d0-b3645e528b7a	5ac579e2-1f2e-11e9-a2d0-b3645e528b7a	N
	USD		0	SALT	MHY7546A1221		0		1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	SALT	SALT	b890ebc1-429f-11ea-9cb7-08889e85e1a2	b890ebc1-429f-11ea-9cb7-08889e85e1a2	b890ebc1-429f-11ea-9cb7-08889e85e1a2	N
	EUR	PHARMASGP HOLDING SE O.N.	0	PSG	DE000A2P4LJ5		0	PharmaSGP Holding SE	1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	PSG	PSG	3e6fe17a-af8c-11ea-9390-2743f628307d	3e6fe17a-af8c-11ea-9390-2743f628307d	3e6fe17a-af8c-11ea-9390-2743f628307d	N
	EUR	CORNING	0	CORNING EUR	US2193501051	2001-08-06	0	Corning Inc.	1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	CORNING USD	CORNING USD	3416e3f8-1f2e-11e9-a2d0-b3645e528b7a	5b1328fe-1f2e-11e9-a2d0-b3645e528b7a	5b1328fe-1f2e-11e9-a2d0-b3645e528b7a	N
	USD		0	ENDO INTERNATION	000000000000		0		1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	ENDO INTERNATION	ENDO INTERNATION	251d3ca8-514c-11e9-b8d0-ec23cf8de3db	251d3ca8-514c-11e9-b8d0-ec23cf8de3db	251d3ca8-514c-11e9-b8d0-ec23cf8de3db	N
	USD	CAPITAL ONE FIN	0	CAP ONE FINAN	US14040H1059	2018-01-18	0	0C9722	1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	CAP ONE FINAN	CAP ONE FINAN	5acabac4-1f2e-11e9-a2d0-b3645e528b7a	5acabac4-1f2e-11e9-a2d0-b3645e528b7a	5acabac4-1f2e-11e9-a2d0-b3645e528b7a	N
	USD	ALPHABET INC A	0	ALPHABET INC A USD	US02079K3059	2018-01-08	0	0A9098	1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	ALPHABET INC A USD	ALPHABET INC A USD	5aaeba40-1f2e-11e9-a2d0-b3645e528b7a	5aaeba40-1f2e-11e9-a2d0-b3645e528b7a	5aaeba40-1f2e-11e9-a2d0-b3645e528b7a	N
	USD		0	DOW	US2605571031		0		1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	DOW	DOW	b1f81aa0-929f-11e9-b650-250734acbd40	b1f81aa0-929f-11e9-b650-250734acbd40	b1f81aa0-929f-11e9-b650-250734acbd40	N
	USD	APARTMENT INVST	0	APT INV MANAGE	US03748R7540	2018-01-18	0	0C7244	1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	APT INV MANAGE	APT INV MANAGE	5a7aa354-1f2e-11e9-a2d0-b3645e528b7a	5a7aa354-1f2e-11e9-a2d0-b3645e528b7a	5a7aa354-1f2e-11e9-a2d0-b3645e528b7a	N
	EUR	KORIAN	0	KORIAN	FR0010386334	2010-10-15	0	0A4714	1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	KORIAN	KORIAN	6e47914c-1f2b-11e9-a2d0-b3645e528b7a	6e47914c-1f2b-11e9-a2d0-b3645e528b7a	6e47914c-1f2b-11e9-a2d0-b3645e528b7a	N
	GBP	VODAFONE GRP.	0	VODAFONE GRP.	GB00BH4HKS39	2014-02-24	0	VOVOD	1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	VODAFONE GRP.	VODAFONE GRP.	5a5ca692-1f2e-11e9-a2d0-b3645e528b7a	5a5ca692-1f2e-11e9-a2d0-b3645e528b7a	5a5ca692-1f2e-11e9-a2d0-b3645e528b7a	N
	USD		0	QTS	US74736A1034		0		1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	QTS	QTS	fd0a5b2e-969c-11e9-a180-91725b79faed	fd0a5b2e-969c-11e9-a180-91725b79faed	fd0a5b2e-969c-11e9-a180-91725b79faed	N
	USD	BWX TECHNOLOGIES	0	BWX TECHNOLOGIES INC	US05605H1005		0		1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	BWX TECHNOLOGIES INC	BWX TECHNOLOGIES INC	2583aed4-514c-11e9-b8d0-ec23cf8de3db	2583aed4-514c-11e9-b8d0-ec23cf8de3db	2583aed4-514c-11e9-b8d0-ec23cf8de3db	N
	EUR	I.M.A.	0	IMA	IT0001049623	2008-11-10	0	IMA	1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	IMA	IMA	ef9c9374-1f2a-11e9-a2d0-b3645e528b7a	ef9c9374-1f2a-11e9-a2d0-b3645e528b7a	ef9c9374-1f2a-11e9-a2d0-b3645e528b7a	N
	USD		0	SPOTIFY	LU1778762911		0		1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	SPOTIFY	SPOTIFY	2e0d4c50-e454-11e9-feeb-14914f218b8c	2e0d4c50-e454-11e9-feeb-14914f218b8c	2e0d4c50-e454-11e9-feeb-14914f218b8c	N
	HKD	HANG SENG C E I	0	HANG SENG C E I			0		50	Cash	2020-08-28	Indices	Equities	Referential Instruments	HANG SENG C E I	HANG SENG C E I	7d16fcdc-5151-11e9-b8d0-ec23cf8de3db	7d16fcdc-5151-11e9-b8d0-ec23cf8de3db	7d16fcdc-5151-11e9-b8d0-ec23cf8de3db	N
	USD		0	GENERAL ELEC USD	US3696041033		0		1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	GENERAL ELEC USD	GENERAL ELEC USD	2507d4d0-514c-11e9-b8d0-ec23cf8de3db	2507d4d0-514c-11e9-b8d0-ec23cf8de3db	2507d4d0-514c-11e9-b8d0-ec23cf8de3db	N
	EUR	FINE FOODS & PHARMACEUTICALS NTM	0	FF	IT0005215329	2016-10-19	0	FINE FOODS & PHARMACEUTICALS NTM	1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	FF	FF	efa350a6-1f2a-11e9-a2d0-b3645e528b7a	efa350a6-1f2a-11e9-a2d0-b3645e528b7a	efa350a6-1f2a-11e9-a2d0-b3645e528b7a	N
	EUR	COMMERZBANK	0	COMMERZBANK	DE000CBK1001	2000-09-04	0	COMMERZBANK	1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	COMMERZBANK	COMMERZBANK	ef9f537a-1f2a-11e9-a2d0-b3645e528b7a	ef9f537a-1f2a-11e9-a2d0-b3645e528b7a	ef9f537a-1f2a-11e9-a2d0-b3645e528b7a	N
	USD	STRYKER ORD	0	STRYKER	US8636671013	2018-01-18	0	0A8014	1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	STRYKER	STRYKER	5a45e704-1f2e-11e9-a2d0-b3645e528b7a	5a45e704-1f2e-11e9-a2d0-b3645e528b7a	5a45e704-1f2e-11e9-a2d0-b3645e528b7a	N
	USD		0	Shockwave Medical	US82489T1043		0		1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	Shockwave Medical	Shockwave Medical	058b5ef5-1cf0-11ea-460e-8c12ac19b09b	058b5ef5-1cf0-11ea-460e-8c12ac19b09b	058b5ef5-1cf0-11ea-460e-8c12ac19b09b	N
	USD	BRIGHTHOUSE FIN	0	BRIGHTHOUSE FNCL	US10922N1037	2018-01-18	0	0C3585	1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	BRIGHTHOUSE FNCL	BRIGHTHOUSE FNCL	5ae511e4-1f2e-11e9-a2d0-b3645e528b7a	5ae511e4-1f2e-11e9-a2d0-b3645e528b7a	5ae511e4-1f2e-11e9-a2d0-b3645e528b7a	N
	USD		0	CALERES INC	US1295001044		0		1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	CALERES INC	CALERES INC	a53b8fae-65b8-11e9-b1d0-d1631eb3ac1e	a53b8fae-65b8-11e9-b1d0-d1631eb3ac1e	a53b8fae-65b8-11e9-b1d0-d1631eb3ac1e	N
	USD	T MOBILE US ORD	0	T MOBILE US IN	US8725901040	2018-01-18	0	0A8075	1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	T MOBILE US IN	T MOBILE US IN	5a530312-1f2e-11e9-a2d0-b3645e528b7a	5a530312-1f2e-11e9-a2d0-b3645e528b7a	5a530312-1f2e-11e9-a2d0-b3645e528b7a	N
	USD		0	AMN Healthcare Services	US0017441017		0		1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	AMN Healthcare Services	AMN Healthcare Services	c1641444-6f8b-11ea-18cd-7da34f056eb6	c1641444-6f8b-11ea-18cd-7da34f056eb6	c1641444-6f8b-11ea-18cd-7da34f056eb6	N
	USD		0	iShares Trust iShares ESG MSCI USA ETF	US46435G4257		0		1	Cash	2020-08-28	Units	Equities	Equities	iShares Trust iShares ESG MSCI USA ETF	iShares Trust iShares ESG MSCI USA ETF	a8c5a033-3d16-11ea-29eb-cbc66dd5ac8f	a8c5a033-3d16-11ea-29eb-cbc66dd5ac8f	a8c5a033-3d16-11ea-29eb-cbc66dd5ac8f	Y
	GBP	PERSIMMON	0	PERSIMMON	GB0006825383	2005-12-19	0	PEKQ	1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	PERSIMMON	PERSIMMON	5ac69de0-1f2e-11e9-a2d0-b3645e528b7a	5ac69de0-1f2e-11e9-a2d0-b3645e528b7a	5ac69de0-1f2e-11e9-a2d0-b3645e528b7a	N
	EUR	UBS GROUP	0	UBSG-U	CH0244767585	2015-09-07	0	UBS Group AG	1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	UBS GROUP N	UBS GROUP N	e33127f2-1f2b-11e9-a2d0-b3645e528b7a	5ab7647e-1f2e-11e9-a2d0-b3645e528b7a	5ab7647e-1f2e-11e9-a2d0-b3645e528b7a	N
	USD		0	Outfront Media Inc	US69007J1060		0		1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	Outfront Media Inc	Outfront Media Inc	a8c4b5d2-3d16-11ea-29eb-cbc66dd5ac8f	a8c4b5d2-3d16-11ea-29eb-cbc66dd5ac8f	a8c4b5d2-3d16-11ea-29eb-cbc66dd5ac8f	N
	USD	VEEVA SYSTEMS C	0	VEEVA SYSTEMS C	US9224751084	2018-01-24	0	0B6134	1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	VEEVA SYSTEMS C	VEEVA SYSTEMS C	5af6db18-1f2e-11e9-a2d0-b3645e528b7a	5af6db18-1f2e-11e9-a2d0-b3645e528b7a	5af6db18-1f2e-11e9-a2d0-b3645e528b7a	N
	EUR	DOBANK	0	DOB	IT0001044996	2017-07-14	0	DOBANK	1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	DOB	DOB	efa073ea-1f2a-11e9-a2d0-b3645e528b7a	efa073ea-1f2a-11e9-a2d0-b3645e528b7a	efa073ea-1f2a-11e9-a2d0-b3645e528b7a	N
	USD		0	EVA	US29414J1079		0		1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	EVA	EVA	bf95ce3a-4e74-11ea-4f99-bcd7c90d42a7	bf95ce3a-4e74-11ea-4f99-bcd7c90d42a7	bf95ce3a-4e74-11ea-4f99-bcd7c90d42a7	N
	EUR	TAKEAWAY	0	TAKEAWAY	NL0012015705	2016-10-10	0	0A9298	1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	TAKEAWAY	TAKEAWAY	6e4bff20-1f2b-11e9-a2d0-b3645e528b7a	6e4bff20-1f2b-11e9-a2d0-b3645e528b7a	6e4bff20-1f2b-11e9-a2d0-b3645e528b7a	N
	USD		0	EDTCH HL ACQ UNT	US28138X2027		0		1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	EDTCH HL ACQ UNT	EDTCH HL ACQ UNT	25254330-514c-11e9-b8d0-ec23cf8de3db	25254330-514c-11e9-b8d0-ec23cf8de3db	25254330-514c-11e9-b8d0-ec23cf8de3db	N
	USD	PBF ENERGY CL A	0	PBF Energy Inc	US69318G1067	2018-01-25	0	0D0836	1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	PBF Energy Inc	PBF Energy Inc	5ac8f1c6-1f2e-11e9-a2d0-b3645e528b7a	5ac8f1c6-1f2e-11e9-a2d0-b3645e528b7a	5ac8f1c6-1f2e-11e9-a2d0-b3645e528b7a	N
	EUR	BANCA GENERALI	0	BGN	IT0001031084	2008-11-10	0	BANCA GENERALI	1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	BGN	BGN	efa24a08-1f2a-11e9-a2d0-b3645e528b7a	efa24a08-1f2a-11e9-a2d0-b3645e528b7a	efa24a08-1f2a-11e9-a2d0-b3645e528b7a	N
	USD	CHECK POINT SOF	0	CHECK PT SFTWRE	000000000000	2018-01-18	0	0B7700	1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	CHECK PT SFTWRE	CHECK PT SFTWRE	5a6ee1e0-1f2e-11e9-a2d0-b3645e528b7a	5a6ee1e0-1f2e-11e9-a2d0-b3645e528b7a	5a6ee1e0-1f2e-11e9-a2d0-b3645e528b7a	N
	EUR	GRIFOLS	0	GRF/AC	ES0171996087	2019-02-15	0	0B1032	1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	GRF/AC	GRF/AC	5a605f6c-1f2e-11e9-a2d0-b3645e528b7a	5a605f6c-1f2e-11e9-a2d0-b3645e528b7a	5a605f6c-1f2e-11e9-a2d0-b3645e528b7a	N
	USD	WYNN RESORTS OR	0	WYNN RESORTS	US9831341071	2018-01-15	0	0A7999	1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	WYNN RESORTS	WYNN RESORTS	5aec4a40-1f2e-11e9-a2d0-b3645e528b7a	5aec4a40-1f2e-11e9-a2d0-b3645e528b7a	5aec4a40-1f2e-11e9-a2d0-b3645e528b7a	N
	EUR	SALVATORE FERRAGAMO	0	SFER	IT0004712375	2011-06-29	0	SALVATORE FERRAGAMO	1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	SFER	SFER	efa2c50a-1f2a-11e9-a2d0-b3645e528b7a	efa2c50a-1f2a-11e9-a2d0-b3645e528b7a	efa2c50a-1f2a-11e9-a2d0-b3645e528b7a	N
	USD		0	Hancock Whitney Corp	US4101201097		0		1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	Hancock Whitney Corp	Hancock Whitney Corp	575b7de6-a2fb-11e9-a750-26b21923e0d9	575b7de6-a2fb-11e9-a750-26b21923e0d9	575b7de6-a2fb-11e9-a750-26b21923e0d9	N
	USD		0	CMP	US20451N1019		0		1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	CMP	CMP	5af342a8-9070-11ea-18de-19d3a4cbdab0	5af342a8-9070-11ea-18de-19d3a4cbdab0	5af342a8-9070-11ea-18de-19d3a4cbdab0	N
	EUR	DDAXK Spot	0	DDAXK Spot	DE000A0C33C3		0		1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	DIVDAX PR	DDAXK Spot	87983700-838a-11e9-bb43-ebb3a6db3c87	7d16f886-5151-11e9-b8d0-ec23cf8de3db	87983700-838a-11e9-bb43-ebb3a6db3c87	N
	USD	SOUTHERN COPPER	0	SOUTHERN COPR	US84265V1052	2018-01-24	0	0C2704	1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	SOUTHERN COPR	SOUTHERN COPR	5a507ebc-1f2e-11e9-a2d0-b3645e528b7a	5a507ebc-1f2e-11e9-a2d0-b3645e528b7a	5a507ebc-1f2e-11e9-a2d0-b3645e528b7a	N
	EUR	SAIPEM	0	SPM	IT0005252140	2008-11-10	0	SAIPEM	1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	SPM	SPM	efa1b1c4-1f2a-11e9-a2d0-b3645e528b7a	efa1b1c4-1f2a-11e9-a2d0-b3645e528b7a	efa1b1c4-1f2a-11e9-a2d0-b3645e528b7a	N
